platform,score,link,userScore,releaseDate,Title,
ds,79,https://www.metacritic.com/game/ds/golden-sun-dark-dawn,8.2,2010-11-29,Golden Sun: Dark Dawn,
ds,73,https://www.metacritic.com/game/ds/drawn-to-life,7.9,2007-09-10,Drawn to Life,
ds,72,https://www.metacritic.com/game/ds/guitar-hero-on-tour-decades,7.8,2008-11-16,Guitar Hero: On Tour Decades,
ds,76,https://www.metacritic.com/game/ds/mario-vs-donkey-kong-2-march-of-the-minis,7.9,2006-09-25,Mario vs. Donkey Kong 2: March of the Minis,
ds,79,https://www.metacritic.com/game/ds/shin-megami-tensei-devil-survivor-2,3.4,2012-02-28,Shin Megami Tensei: Devil Survivor 2,
ds,81,https://www.metacritic.com/game/ds/phoenix-wright-ace-attorney---trials-and-tribulations,9,2007-10-23,Phoenix Wright: Ace Attorney - Trials and Tribulations,
ds,72,https://www.metacritic.com/game/ds/theme-park,7.6,2007-03-20,Theme Park,
ds,83,https://www.metacritic.com/game/ds/contra-4,7.9,2007-11-13,Contra 4,
ds,73,https://www.metacritic.com/game/ds/glory-days-2,7.3,2007-08-06,Glory Days 2,
ds,71,https://www.metacritic.com/game/ds/my-word-coach,6.8,2007-11-06,My Word Coach,
ds,82,https://www.metacritic.com/game/ds/korg-ds-10-synthesizer,8.2,2008-11-04,KORG DS-10 Synthesizer,
ds,74,https://www.metacritic.com/game/ds/puzzle-quest-2,5.8,2010-06-22,Puzzle Quest 2,
ds,76,https://www.metacritic.com/game/ds/tetris-party-deluxe,,2010-05-25,Tetris Party Deluxe,
ds,76,https://www.metacritic.com/game/ds/yu-gi-oh!-world-championship-2007,7.8,2007-03-20,Yu-Gi-Oh! World Championship 2007,
ds,71,https://www.metacritic.com/game/ds/touchmaster,5.7,2007-06-25,TouchMaster,
ds,78,https://www.metacritic.com/game/ds/chibi-robo!-park-patrol,7.7,2007-09-24,Chibi-Robo! Park Patrol,
ds,75,https://www.metacritic.com/game/ds/the-legendary-starfy,8.3,2009-06-07,The Legendary Starfy,
ds,78,https://www.metacritic.com/game/ds/hotel-dusk-room-215,8.5,2007-01-22,Hotel Dusk: Room 215,
ds,80,https://www.metacritic.com/game/ds/shin-megami-tensei-strange-journey,4.1,2010-03-23,Shin Megami Tensei: Strange Journey,
ds,80,https://www.metacritic.com/game/ds/lufia-curse-of-the-sinistrals,8.1,2010-10-12,Lufia: Curse of the Sinistrals,
ds,85,https://www.metacritic.com/game/ds/castlevania-portrait-of-ruin,8.3,2006-12-05,Castlevania: Portrait of Ruin,
ds,87,https://www.metacritic.com/game/ds/dragon-quest-ix-sentinels-of-the-starry-skies,8.5,2010-07-11,Dragon Quest IX: Sentinels of the Starry Skies,
ds,72,https://www.metacritic.com/game/ds/drawn-to-life-the-next-chapter,7.8,2009-10-27,Drawn to Life: The Next Chapter,
ds,82,https://www.metacritic.com/game/ds/okamiden,8.2,2011-03-10,Okamiden,
ds,89,https://www.metacritic.com/game/ds/castlevania-dawn-of-sorrow,8.5,2005-10-04,Castlevania: Dawn of Sorrow,
ds,78,https://www.metacritic.com/game/ds/bomberman-land-touch!,7.6,2006-11-07,Bomberman Land Touch!,
ds,78,https://www.metacritic.com/game/ds/mega-man-zx-advent,8.9,2007-10-23,Mega Man ZX Advent,
ds,82,https://www.metacritic.com/game/ds/nine-hours-nine-persons-nine-doors,8.8,2010-11-16,"Nine Hours, Nine Persons, Nine Doors",
ds,75,https://www.metacritic.com/game/ds/final-fantasy-crystal-chronicles-echoes-of-time,7.5,2009-03-24,Final Fantasy Crystal Chronicles: Echoes of Time,
ds,78,https://www.metacritic.com/game/ds/sonic-rush-adventure,8.1,2007-09-18,Sonic Rush Adventure,
ds,75,https://www.metacritic.com/game/ds/wwe-smackdown-vs-raw-2010,8.5,2009-10-20,WWE SmackDown vs. Raw 2010,
ds,79,https://www.metacritic.com/game/ds/metroid-prime-pinball,7.9,2005-10-24,Metroid Prime Pinball,
ds,74,https://www.metacritic.com/game/ds/batman-the-brave-and-the-bold---the-videogame,7.9,2010-09-07,Batman: The Brave and the Bold - The Videogame,
ds,71,https://www.metacritic.com/game/ds/dreamworks-kung-fu-panda,5.5,2008-06-03,DreamWorks Kung Fu Panda,
ds,82,https://www.metacritic.com/game/ds/etrian-odyssey-ii-heroes-of-lagaard,8,2008-06-13,Etrian Odyssey II: Heroes of Lagaard,
ds,73,https://www.metacritic.com/game/ds/call-of-duty-modern-warfare---mobilized,7.3,2009-11-10,Call of Duty: Modern Warfare - Mobilized,
ds,78,https://www.metacritic.com/game/ds/mega-man-zero-collection,8.8,2010-06-08,Mega Man Zero Collection,
ds,73,https://www.metacritic.com/game/ds/dirt-2,,2009-09-08,DiRT 2,
ds,75,https://www.metacritic.com/game/ds/dragon-quest-monsters-joker,7.4,2007-11-06,Dragon Quest Monsters: Joker,
ds,77,https://www.metacritic.com/game/ds/dk-jungle-climber,6.7,2007-09-10,DK: Jungle Climber,
ds,77,https://www.metacritic.com/game/ds/final-fantasy-iii,8.7,2006-11-14,Final Fantasy III,
ds,74,https://www.metacritic.com/game/ds/pokemon-trozei!,7.3,2006-03-06,Pokemon Trozei!,
ds,72,https://www.metacritic.com/game/ds/pac-n-roll,8.4,2005-08-23,Pac 'n Roll,
ds,83,https://www.metacritic.com/game/ds/dragon-quest-heroes-rocket-slime,7.7,2006-09-19,Dragon Quest Heroes: Rocket Slime,
ds,80,https://www.metacritic.com/game/ds/final-fantasy-tactics-a2-grimoire-of-the-rift,8.9,2008-06-24,Final Fantasy Tactics A2: Grimoire of the Rift,
ds,72,https://www.metacritic.com/game/ds/lego-batman-the-videogame,7.9,2008-09-23,LEGO Batman: The Videogame,
ds,75,https://www.metacritic.com/game/ds/bomberman,7.5,2005-06-21,Bomberman,
ds,71,https://www.metacritic.com/game/ds/super-collapse-3,,2007-10-30,Super Collapse 3,
ds,79,https://www.metacritic.com/game/ds/trauma-center-under-the-knife-2,8.5,2008-07-02,Trauma Center: Under the Knife 2,
ds,92,https://www.metacritic.com/game/ds/chrono-trigger,9.2,2008-11-25,Chrono Trigger,
ds,87,https://www.metacritic.com/game/ds/the-legend-of-zelda-spirit-tracks,7.9,2009-12-07,The Legend of Zelda: Spirit Tracks,
ds,83,https://www.metacritic.com/game/ds/professor-layton-and-the-last-specter,8.2,2011-10-18,Professor Layton and the Last Specter,
ds,76,https://www.metacritic.com/game/ds/phoenix-wright-ace-attorney---justice-for-all,8.6,2007-01-16,Phoenix Wright: Ace Attorney - Justice for All,
ds,75,https://www.metacritic.com/game/ds/elebits-the-adventures-of-kai-and-zero,8.3,2009-01-06,Elebits: The Adventures of Kai and Zero,
ds,85,https://www.metacritic.com/game/ds/pokemon-diamond-version,8.3,2007-04-22,Pokemon Diamond Version,
ds,71,https://www.metacritic.com/game/ds/pipe-mania,,2008-09-26,Pipe Mania,
ds,78,https://www.metacritic.com/game/ds/rune-factory-a-fantasy-harvest-moon,8.2,2007-08-14,Rune Factory: A Fantasy Harvest Moon,
ds,76,https://www.metacritic.com/game/ds/mega-man-zx,9,2006-09-12,Mega Man ZX,
ds,72,https://www.metacritic.com/game/ds/brothers-in-arms-ds,8,2007-06-21,Brothers In Arms DS,
ds,73,https://www.metacritic.com/game/ds/spider-man-shattered-dimensions,7.5,2010-09-07,Spider-Man: Shattered Dimensions,
ds,72,https://www.metacritic.com/game/ds/bionicle-heroes,6.6,2006-11-14,Bionicle Heroes,
ds,79,https://www.metacritic.com/game/ds/monster-tale,8,2011-03-16,Monster Tale,
ds,78,https://www.metacritic.com/game/ds/dragon-ball-origins,7.9,2008-11-04,Dragon Ball: Origins,
ds,74,https://www.metacritic.com/game/ds/call-of-duty-black-ops,6.6,2010-11-09,Call of Duty: Black Ops,
ds,72,https://www.metacritic.com/game/ds/fifa-07-soccer,6.2,2006-10-03,FIFA 07 Soccer,
ds,71,https://www.metacritic.com/game/ds/pac-pix,7.7,2005-04-26,Pac-Pix,
ds,81,https://www.metacritic.com/game/ds/korg-ds-10-plus,6,2010-02-16,KORG DS-10 PLUS,
ds,76,https://www.metacritic.com/game/ds/kirby-super-star-ultra,8.9,2008-09-22,Kirby Super Star Ultra,
ds,78,https://www.metacritic.com/game/ds/ace-attorney-investigations-miles-edgeworth,8.3,2010-02-16,Ace Attorney Investigations: Miles Edgeworth,
ds,80,https://www.metacritic.com/game/ds/pokemon-conquest,8.3,2012-06-18,Pokemon Conquest,
ds,76,https://www.metacritic.com/game/ds/puyo-pop-fever,6.8,2005-05-03,Puyo Pop Fever,
ds,85,https://www.metacritic.com/game/ds/pokemon-pearl-version,8.2,2007-04-22,Pokemon Pearl Version,
ds,75,https://www.metacritic.com/game/ds/kingdom-hearts-3582-days,8.3,2009-09-29,Kingdom Hearts 358/2 Days,
ds,72,https://www.metacritic.com/game/ds/skate-it,7.8,2008-11-19,Skate It,
ds,78,https://www.metacritic.com/game/ds/apollo-justice-ace-attorney,8.2,2008-02-19,Apollo Justice: Ace Attorney,
ds,77,https://www.metacritic.com/game/ds/harvest-moon-ds-sunshine-islands,7.7,2009-11-12,Harvest Moon DS: Sunshine Islands,
ds,71,https://www.metacritic.com/game/ds/over-the-hedge,6.7,2006-05-05,Over the Hedge,
ds,76,https://www.metacritic.com/game/ds/knights-in-the-nightmare,8.5,2009-06-03,Knights in the Nightmare,
ds,72,https://www.metacritic.com/game/ds/lego-harry-potter-years-1-4,7.6,2010-06-29,LEGO Harry Potter: Years 1-4,
ds,85,https://www.metacritic.com/game/ds/castlevania-order-of-ecclesia,8.5,2008-10-21,Castlevania: Order of Ecclesia,
ds,75,https://www.metacritic.com/game/ds/nanostray-2,7.8,2008-03-11,Nanostray 2,
ds,87,https://www.metacritic.com/game/ds/pokemon-black-version,7.6,2011-03-06,Pokemon Black Version,
ds,73,https://www.metacritic.com/game/ds/star-wars-episode-iii-revenge-of-the-sith,7.8,2005-05-04,Star Wars Episode III: Revenge of the Sith,
ds,75,https://www.metacritic.com/game/ds/super-princess-peach,7.8,2006-02-27,Super Princess Peach,
ds,87,https://www.metacritic.com/game/ds/pokemon-white-version,7.6,2011-03-06,Pokemon White Version,
ds,74,https://www.metacritic.com/game/ds/valkyrie-profile-covenant-of-the-plume,7.5,2009-03-16,Valkyrie Profile: Covenant of the Plume,
ds,83,https://www.metacritic.com/game/ds/ghost-trick-phantom-detective,8.8,2011-01-11,Ghost Trick: Phantom Detective,
ds,74,https://www.metacritic.com/game/ds/custom-robo-arena,8.3,2007-03-19,Custom Robo Arena,
ds,81,https://www.metacritic.com/game/ds/fire-emblem-shadow-dragon,7,2009-02-16,Fire Emblem: Shadow Dragon,
ds,73,https://www.metacritic.com/game/ds/yu-gi-oh!-5ds-stardust-accelerator-world-championship-2009,8,2009-05-19,Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009,
ds,74,https://www.metacritic.com/game/ds/sonic-chronicles-the-dark-brotherhood,6.9,2008-09-30,Sonic Chronicles: The Dark Brotherhood,
ds,73,https://www.metacritic.com/game/ds/yoshi-touch-go,7,2005-03-14,Yoshi Touch & Go,
ds,77,https://www.metacritic.com/game/ds/rune-factory-2-a-fantasy-harvest-moon,8.1,2008-11-18,Rune Factory 2: A Fantasy Harvest Moon,
ds,72,https://www.metacritic.com/game/ds/boing!-docomodake-ds,,2009-03-10,Boing! Docomodake DS,
ds,73,https://www.metacritic.com/game/ds/crash-of-the-titans,6.8,2007-10-25,Crash of the Titans,
ds,77,https://www.metacritic.com/game/ds/rune-factory-3-a-fantasy-harvest-moon,8.3,2010-11-09,Rune Factory 3: A Fantasy Harvest Moon,
ds,76,https://www.metacritic.com/game/ds/konami-classics-series-arcade-hits,,2007-03-30,Konami Classics Series: Arcade Hits,
ds,76,https://www.metacritic.com/game/ds/suikoden-tierkreis,7.8,2009-03-17,Suikoden Tierkreis,
ds,70,https://www.metacritic.com/game/ds/real-soccer-2009,,2008-11-04,Real Soccer 2009,
ds,71,https://www.metacritic.com/game/ds/madden-nfl-08,7.7,2007-08-14,Madden NFL 08,
ds,70,https://www.metacritic.com/game/ds/neopets-puzzle-adventure,,2008-11-25,Neopets Puzzle Adventure,
ds,72,https://www.metacritic.com/game/ds/mario-party-ds,7.9,2007-11-19,Mario Party DS,
ds,77,https://www.metacritic.com/game/ds/dragon-quest-monsters-joker-2,7.7,2011-09-19,Dragon Quest Monsters: Joker 2,
ds,75,https://www.metacritic.com/game/ds/etrian-odyssey,8.4,2007-05-15,Etrian Odyssey,
ds,70,https://www.metacritic.com/game/ds/spectrobes-beyond-the-portals,7.5,2008-10-07,Spectrobes: Beyond the Portals,
ds,73,https://www.metacritic.com/game/ds/viewtiful-joe-double-trouble!,7.4,2005-11-18,Viewtiful Joe: Double Trouble!,
ds,70,https://www.metacritic.com/game/ds/madden-nfl-07,6.5,2006-08-22,Madden NFL 07,
ds,70,https://www.metacritic.com/game/ds/gunpey-ds,,2006-11-17,Gunpey DS,
ds,75,https://www.metacritic.com/game/ds/infinite-space,8.2,2010-03-16,Infinite Space,
ds,77,https://www.metacritic.com/game/ds/retro-game-challenge,6.9,2009-02-10,Retro Game Challenge,
ds,73,https://www.metacritic.com/game/ds/yu-gi-oh!-nightmare-troubadour,8.4,2005-08-30,Yu-Gi-Oh! Nightmare Troubadour,
ds,74,https://www.metacritic.com/game/ds/bomberman-land-touch!-2,7,2008-01-29,Bomberman Land Touch! 2,
ds,84,https://www.metacritic.com/game/ds/dragon-quest-v-hand-of-the-heavenly-bride,8.5,2009-02-16,Dragon Quest V: Hand of the Heavenly Bride,
ds,87,https://www.metacritic.com/game/ds/pokemon-heartgold-version,9.1,2010-03-14,Pokemon HeartGold Version,
ds,73,https://www.metacritic.com/game/ds/contact,8.2,2006-10-19,Contact,
ds,73,https://www.metacritic.com/game/ds/summon-night-twin-age,7.2,2008-06-03,Summon Night: Twin Age,
ds,73,https://www.metacritic.com/game/ds/ultimate-mortal-kombat,8.3,2007-11-12,Ultimate Mortal Kombat,
ds,70,https://www.metacritic.com/game/ds/nervous-brickdown,7.5,2007-06-26,Nervous Brickdown,
ds,70,https://www.metacritic.com/game/ds/beat-city,,2010-04-20,Beat City,
ds,87,https://www.metacritic.com/game/ds/pokemon-soulsilver-version,9.2,2010-03-14,Pokemon SoulSilver Version,
ds,71,https://www.metacritic.com/game/ds/space-bust-a-move,,2009-07-28,Space Bust-A-Move,
ds,83,https://www.metacritic.com/game/ds/pokemon-platinum-version,9,2009-03-22,Pokemon Platinum Version,
ds,72,https://www.metacritic.com/game/ds/harvest-moon-frantic-farming,6.3,2009-08-25,Harvest Moon: Frantic Farming,
ds,70,https://www.metacritic.com/game/ds/shrek-the-third,4.2,2007-05-02,Shrek the Third,
ds,80,https://www.metacritic.com/game/ds/dragon-quest-iv-chapters-of-the-chosen,8.1,2008-09-16,Dragon Quest IV: Chapters of the Chosen,
ds,70,https://www.metacritic.com/game/ds/neves,,2007-11-06,Neves,
ds,71,https://www.metacritic.com/game/ds/ontamarama,,2007-11-06,Ontamarama,
ds,73,https://www.metacritic.com/game/ds/luminous-arc-2,7.8,2008-11-18,Luminous Arc 2,
ds,70,https://www.metacritic.com/game/ds/rabbids-go-home,5.8,2009-11-01,Rabbids Go Home,
ds,73,https://www.metacritic.com/game/ds/the-sims-3,6.2,2010-10-26,The Sims 3,
ds,72,https://www.metacritic.com/game/ds/front-mission,8,2007-10-23,Front Mission,
ds,70,https://www.metacritic.com/game/ds/simanimals,7.5,2009-01-27,SimAnimals,
ds,70,https://www.metacritic.com/game/ds/james-bond-007-blood-stone,,2010-11-02,James Bond 007: Blood Stone,
ds,76,https://www.metacritic.com/game/ds/aliens-infestation,8.3,2011-10-11,Aliens: Infestation,
ds,70,https://www.metacritic.com/game/ds/mario-sonic-at-the-olympic-games,7.2,2008-01-22,Mario & Sonic at the Olympic Games,
ds,72,https://www.metacritic.com/game/ds/dementium-the-ward,7.9,2007-10-26,Dementium: The Ward,
ds,70,https://www.metacritic.com/game/ds/100-classic-books,6,2010-06-14,100 Classic Books,
ds,70,https://www.metacritic.com/game/ds/need-for-speed-nitro,6.2,2009-11-02,Need for Speed: Nitro,
ds,77,https://www.metacritic.com/game/ds/etrian-odyssey-iii-the-drowned-city,8.3,2010-09-21,Etrian Odyssey III: The Drowned City,
ds,74,https://www.metacritic.com/game/ds/drone-tactics,7.4,2008-05-12,Drone Tactics,
ds,71,https://www.metacritic.com/game/ds/final-fantasy-the-4-heroes-of-light,8.7,2010-10-05,Final Fantasy: The 4 Heroes of Light,
ds,71,https://www.metacritic.com/game/ds/draglade,7.5,2007-12-04,Draglade,
ds,75,https://www.metacritic.com/game/ds/dementium-ii,8.4,2010-05-04,Dementium II,
ds,80,https://www.metacritic.com/game/ds/pokemon-white-version-2,7.8,2012-10-07,Pokemon White Version 2,
ds,73,https://www.metacritic.com/game/ds/dragon-ball-z-attack-of-the-saiyans,8.1,2009-11-10,Dragon Ball Z: Attack of the Saiyans,
ds,70,https://www.metacritic.com/game/ds/mlb-power-pros-2008,,2008-08-25,MLB Power Pros 2008,
ds,80,https://www.metacritic.com/game/ds/pokemon-black-version-2,7.7,2012-10-07,Pokemon Black Version 2,
ds,70,https://www.metacritic.com/game/ds/the-legend-of-kage-2,7.3,2008-10-08,The Legend of Kage 2,
ds,71,https://www.metacritic.com/game/ds/nanostray,7.7,2005-07-19,Nanostray,
ds,71,https://www.metacritic.com/game/ds/fifa-world-cup-germany-2006,7.4,2006-04-24,FIFA World Cup: Germany 2006,
ds,70,https://www.metacritic.com/game/ds/mr-driller-drill-spirits,7.3,2004-11-30,Mr. Driller: Drill Spirits,
ds,72,https://www.metacritic.com/game/ds/nostalgia,7.6,2009-10-23,Nostalgia,
ds,71,https://www.metacritic.com/game/ds/kirby-squeak-squad,7.9,2006-12-04,Kirby: Squeak Squad,
ds,78,https://www.metacritic.com/game/ds/dragon-quest-vi-realms-of-revelation,8.3,2011-02-14,Dragon Quest VI: Realms of Revelation,
ds,73,https://www.metacritic.com/game/ds/super-robot-taisen-og-saga-endless-frontier,8.3,2009-04-29,Super Robot Taisen OG Saga: Endless Frontier,
ds,70,https://www.metacritic.com/game/ds/garfields-nightmare,8.4,2007-09-04,Garfield's Nightmare,
ds,70,https://www.metacritic.com/game/ds/scurge-hive,7.4,2006-11-01,Scurge: Hive,
ds,70,https://www.metacritic.com/game/ds/guitar-hero-on-tour-modern-hits,6.8,2009-06-09,Guitar Hero On Tour: Modern Hits,
ds,70,https://www.metacritic.com/game/ds/cooking-mama-2-dinner-with-friends,8,2007-11-13,Cooking Mama 2: Dinner With Friends,
ds,70,https://www.metacritic.com/game/ds/trace-memory,8.1,2005-09-27,Trace Memory,
ds,71,https://www.metacritic.com/game/ds/electroplankton,7,2006-01-09,Electroplankton,
ds,71,https://www.metacritic.com/game/ds/digimon-world-ds,7.8,2006-11-07,Digimon World DS,
ds,71,https://www.metacritic.com/game/ds/phantasy-star-zero,7.9,2009-11-10,Phantasy Star Zero,
ds,71,https://www.metacritic.com/game/ds/moon,7.5,2009-01-13,Moon,
ds,70,https://www.metacritic.com/game/ds/tomb-raider-underworld,7.6,2008-11-18,Tomb Raider: Underworld,
ds,70,https://www.metacritic.com/game/ds/sonic-classic-collection,7.5,2010-03-02,Sonic Classic Collection,
ds,71,https://www.metacritic.com/game/ds/avalon-code,7.6,2009-03-10,Avalon Code,
ds,70,https://www.metacritic.com/game/ds/the-sims-2,6,2005-10-24,The Sims 2,
ds,71,https://www.metacritic.com/game/ds/resident-evil-deadly-silence,8.4,2006-02-07,Resident Evil: Deadly Silence,
ds,70,https://www.metacritic.com/game/ds/metal-slug-7,7.6,2008-11-18,Metal Slug 7,
ds,70,https://www.metacritic.com/game/ds/fossil-fighters,8.4,2009-08-10,Fossil Fighters,
ds,70,https://www.metacritic.com/game/ds/dragon-ball-origins-2,8,2010-06-22,Dragon Ball: Origins 2,
ds,70,https://www.metacritic.com/game/ds/luminous-arc,7.1,2007-08-14,Luminous Arc,
ds,70,https://www.metacritic.com/game/ds/atelier-annie-alchemists-of-sera-island,6.7,2009-10-27,Atelier Annie: Alchemists of Sera Island,
ds,69,https://www.metacritic.com/game/ds/mystery-dungeon-shiren-the-wanderer,8.3,2008-03-04,Mystery Dungeon: Shiren the Wanderer,
ds,69,https://www.metacritic.com/game/ds/rondo-of-swords,7.9,2008-04-15,Rondo of Swords,
ds,69,https://www.metacritic.com/game/ds/magical-starsign,7.9,2006-10-23,Magical Starsign,
ds,69,https://www.metacritic.com/game/ds/lost-in-blue,7.8,2005-09-27,Lost in Blue,
ds,69,https://www.metacritic.com/game/ds/magicians-quest-mysterious-times,7.8,2009-05-11,Magician's Quest: Mysterious Times,
ds,69,https://www.metacritic.com/game/ds/the-dark-spire,7.8,2009-04-14,The Dark Spire,
ds,69,https://www.metacritic.com/game/ds/mario-hoops-3-on-3,7.7,2006-09-11,Mario Hoops: 3 on 3,
ds,69,https://www.metacritic.com/game/ds/assassins-creed-ii-discovery,7.5,2009-11-17,Assassin's Creed II: Discovery,
ds,69,https://www.metacritic.com/game/ds/glory-of-heracles,7.4,2010-01-18,Glory of Heracles,
ds,69,https://www.metacritic.com/game/ds/pokemon-ranger,7.3,2006-10-30,Pokemon Ranger,
ds,69,https://www.metacritic.com/game/ds/simcity-creator,7.3,2008-09-22,SimCity Creator,
ds,69,https://www.metacritic.com/game/ds/the-simpsons-game,7.3,2007-10-30,The Simpsons Game,
ds,69,https://www.metacritic.com/game/ds/tom-clancys-endwar,7.2,2008-11-04,Tom Clancy's EndWar,
ds,69,https://www.metacritic.com/game/ds/cars-mater-national-championship,7.1,2007-10-29,Cars Mater-National Championship,
ds,69,https://www.metacritic.com/game/ds/earthworm-jim,7.1,2010-05-10,Earthworm Jim,
ds,69,https://www.metacritic.com/game/ds/frogger-helmet-chaos,6.8,2005-09-27,Frogger: Helmet Chaos,
ds,69,https://www.metacritic.com/game/ds/blue-dragon-plus,6.5,2009-02-19,Blue Dragon Plus,
ds,69,https://www.metacritic.com/game/ds/simcity-ds,6.4,2007-06-19,SimCity DS,
ds,69,https://www.metacritic.com/game/ds/ivy-the-kiwi,6.3,2010-08-24,Ivy the Kiwi?,
ds,69,https://www.metacritic.com/game/ds/ultimate-band,,2008-11-18,Ultimate Band,
ds,69,https://www.metacritic.com/game/ds/master-of-illusion,,2007-11-26,Master of Illusion,
ds,69,https://www.metacritic.com/game/ds/transformers-animated-the-game,,2008-10-21,Transformers Animated: The Game,
ds,68,https://www.metacritic.com/game/ds/mega-man-battle-network-5-double-team,9.1,2005-11-01,Mega Man Battle Network 5: Double Team,
ds,68,https://www.metacritic.com/game/ds/pokemon-ranger-guardian-signs,8.1,2010-10-04,Pokemon Ranger: Guardian Signs,
ds,68,https://www.metacritic.com/game/ds/magnetica,8.1,2006-06-05,Magnetica,
ds,68,https://www.metacritic.com/game/ds/orcs-elves,8,2007-11-13,Orcs & Elves,
ds,68,https://www.metacritic.com/game/ds/pokemon-ranger-shadows-of-almia,8,2008-11-10,Pokemon Ranger: Shadows of Almia,
ds,68,https://www.metacritic.com/game/ds/fossil-fighters-champions,7.9,2011-11-14,Fossil Fighters: Champions,
ds,68,https://www.metacritic.com/game/ds/lost-magic,7.9,2006-04-25,Lost Magic,
ds,68,https://www.metacritic.com/game/ds/harvest-moon-ds-grand-bazaar,7.7,2010-08-24,Harvest Moon DS: Grand Bazaar,
ds,68,https://www.metacritic.com/game/ds/madden-nfl-2005,7.7,2004-11-17,Madden NFL 2005,
ds,68,https://www.metacritic.com/game/ds/star-wars-the-clone-wars-jedi-alliance,7.7,2008-11-11,Star Wars The Clone Wars: Jedi Alliance,
ds,68,https://www.metacritic.com/game/ds/little-red-riding-hoods-zombie-bbq,7.7,2008-11-06,Little Red Riding Hood's Zombie BBQ,
ds,68,https://www.metacritic.com/game/ds/the-rub-rabbits!,7.7,2006-02-13,The Rub Rabbits!,
ds,68,https://www.metacritic.com/game/ds/digimon-world-dawn,7.6,2007-09-18,Digimon World: Dawn,
ds,68,https://www.metacritic.com/game/ds/brain-challenge,7,2008-01-08,Brain Challenge,
ds,68,https://www.metacritic.com/game/ds/spider-man-battle-for-new-york,6.8,2006-11-14,Spider-Man: Battle for New York,
ds,68,https://www.metacritic.com/game/ds/the-legend-of-spyro-a-new-beginning,6.1,2006-10-17,The Legend of Spyro: A New Beginning,
ds,68,https://www.metacritic.com/game/ds/harry-potter-and-the-goblet-of-fire,6,2005-11-08,Harry Potter and the Goblet of Fire,
ds,68,https://www.metacritic.com/game/ds/the-wizard-of-oz-beyond-the-yellow-brick-road,6,2009-09-29,The Wizard of Oz: Beyond the Yellow Brick Road,
ds,68,https://www.metacritic.com/game/ds/xg-blast!,,2010-06-14,XG Blast!,
ds,68,https://www.metacritic.com/game/ds/drawn-to-life-spongebob-squarepants-edition,,2008-09-15,Drawn to Life: SpongeBob SquarePants Edition,
ds,68,https://www.metacritic.com/game/ds/quickspot,,2007-03-19,QuickSpot,
ds,68,https://www.metacritic.com/game/ds/treasure-world,,2009-06-30,Treasure World,
ds,68,https://www.metacritic.com/game/ds/zendoku,,2007-06-26,Zendoku,
ds,68,https://www.metacritic.com/game/ds/horse-life,,2007-11-06,Horse Life,
ds,68,https://www.metacritic.com/game/ds/break-em-all,,2006-06-20,Break 'Em All,
ds,68,https://www.metacritic.com/game/ds/touchmaster-3,,2009-10-23,TouchMaster 3,
ds,68,https://www.metacritic.com/game/ds/roogoo-attack,,2009-06-16,Roogoo Attack,
ds,67,https://www.metacritic.com/game/ds/rhapsody-a-musical-adventure,8.5,2008-09-23,Rhapsody: A Musical Adventure,
ds,67,https://www.metacritic.com/game/ds/teenage-zombies-invasion-of-the-alien-brain-thingys,8.2,2008-04-15,Teenage Zombies: Invasion of the Alien Brain Thingys,
ds,67,https://www.metacritic.com/game/ds/panzer-tactics-ds,8.2,2007-11-06,Panzer Tactics DS,
ds,67,https://www.metacritic.com/game/ds/the-urbz-sims-in-the-city,8,2004-11-17,The Urbz: Sims in the City,
ds,67,https://www.metacritic.com/game/ds/digimon-world-dusk,7.9,2007-09-18,Digimon World: Dusk,
ds,67,https://www.metacritic.com/game/ds/transformers-autobots,7.7,2007-06-19,Transformers: Autobots,
ds,67,https://www.metacritic.com/game/ds/mysims-racing,7.5,2009-06-12,MySims Racing,
ds,67,https://www.metacritic.com/game/ds/harvest-moon-ds,7.4,2006-09-12,Harvest Moon DS,
ds,67,https://www.metacritic.com/game/ds/legacy-of-ys-books-i-ii,7.3,2009-02-24,Legacy of Ys: Books I & II,
ds,67,https://www.metacritic.com/game/ds/cooking-mama,7.3,2006-09-12,Cooking Mama,
ds,67,https://www.metacritic.com/game/ds/mysims,7,2007-09-18,MySims,
ds,67,https://www.metacritic.com/game/ds/crosswords,6.8,2008-05-05,CrossworDS,
ds,67,https://www.metacritic.com/game/ds/pony-friends,6.6,2007-05-30,Pony Friends,
ds,67,https://www.metacritic.com/game/ds/namco-museum-ds,6.5,2007-09-18,Namco Museum DS,
ds,67,https://www.metacritic.com/game/ds/looney-tunes-cartoon-conductor,,2008-06-10,Looney Tunes: Cartoon Conductor,
ds,67,https://www.metacritic.com/game/ds/my-world-my-way,,2009-02-03,"My World, My Way",
ds,67,https://www.metacritic.com/game/ds/world-championship-poker-deluxe-series,,2005-04-17,World Championship Poker: Deluxe Series,
ds,67,https://www.metacritic.com/game/ds/touch-detective-2-12,,2007-10-09,Touch Detective 2 1/2,
ds,66,https://www.metacritic.com/game/ds/transformers-decepticons,8.3,2007-06-19,Transformers: Decepticons,
ds,66,https://www.metacritic.com/game/ds/true-swing-golf,7.7,2006-01-23,True Swing Golf,
ds,66,https://www.metacritic.com/game/ds/dreamworks-madagascar,6.8,2005-05-23,DreamWorks Madagascar,
