title,platform,score,releaseDate,link
"Burn Zombie Burn","ps3",76,"2009-03-26","https://www.metacritic.com/game/playstation-3/burn-zombie-burn"
"Burnout","ps2",79,"2001-11-01","https://www.metacritic.com/game/playstation-2/burnout"
"Burnout","xbox",75,"2002-04-29","https://www.metacritic.com/game/xbox/burnout"
"Burnout 2: Point of Impact","xbox",88,"2003-05-01","https://www.metacritic.com/game/xbox/burnout-2-point-of-impact"
"Burnout 3: Takedown","xbox",94,"2004-09-07","https://www.metacritic.com/game/xbox/burnout-3-takedown"
"Burnout Crash!","ps3",69,"2011-09-20","https://www.metacritic.com/game/playstation-3/burnout-crash!"
"Burnout Dominator","ps2",76,"2007-03-06","https://www.metacritic.com/game/playstation-2/burnout-dominator"
"Burnout Paradise","ps3",87,"2008-01-22","https://www.metacritic.com/game/playstation-3/burnout-paradise"
"Burnout Paradise","xbox360",88,"2008-01-22","https://www.metacritic.com/game/xbox-360/burnout-paradise"
"Burnout Revenge","xbox",89,"2005-09-13","https://www.metacritic.com/game/xbox/burnout-revenge"
"Burnout Revenge","xbox360",89,"2006-03-07","https://www.metacritic.com/game/xbox-360/burnout-revenge"
"Bust-A-Move Live!","xbox360",78,"2009-09-30","https://www.metacritic.com/game/xbox-360/bust-a-move-live!"
"Buzz! Junior: Dino Den","ps2",69,"2008-09-25","https://www.metacritic.com/game/playstation-2/buzz!-junior-dino-den"
"Buzz! Junior: Jungle Party","ps2",70,"2007-10-02","https://www.metacritic.com/game/playstation-2/buzz!-junior-jungle-party"
"Buzz! Quiz TV","ps3",80,"2008-09-23","https://www.metacritic.com/game/playstation-3/buzz!-quiz-tv"
"Buzz! Quiz World","ps3",80,"2009-11-11","https://www.metacritic.com/game/playstation-3/buzz!-quiz-world"
"Buzz! The Hollywood Quiz","ps2",77,"2008-03-11","https://www.metacritic.com/game/playstation-2/buzz!-the-hollywood-quiz"
"Buzz! The Mega Quiz","ps2",75,"2007-10-30","https://www.metacritic.com/game/playstation-2/buzz!-the-mega-quiz"
"Call of Cthulhu: Dark Corners of the Earth","xbox",77,"2005-10-24","https://www.metacritic.com/game/xbox/call-of-cthulhu-dark-corners-of-the-earth"
"Call of Duty 2","xbox360",89,"2005-11-17","https://www.metacritic.com/game/xbox-360/call-of-duty-2"
"Call of Duty 2: Big Red One","ps2",77,"2005-11-01","https://www.metacritic.com/game/playstation-2/call-of-duty-2-big-red-one"
"Call of Duty 2: Big Red One","xbox",78,"2005-11-01","https://www.metacritic.com/game/xbox/call-of-duty-2-big-red-one"
"Call of Duty 3","ps3",80,"2006-11-14","https://www.metacritic.com/game/playstation-3/call-of-duty-3"
"Call of Duty 3","xbox",83,"2006-11-07","https://www.metacritic.com/game/xbox/call-of-duty-3"
"Call of Duty 3","xbox360",82,"2006-11-07","https://www.metacritic.com/game/xbox-360/call-of-duty-3"
"Call of Duty 4: Modern Warfare","ps3",94,"2007-11-05","https://www.metacritic.com/game/playstation-3/call-of-duty-4-modern-warfare"
"Call of Duty 4: Modern Warfare","xbox360",94,"2007-11-05","https://www.metacritic.com/game/xbox-360/call-of-duty-4-modern-warfare"
"Call of Duty Classic","ps3",78,"2009-12-03","https://www.metacritic.com/game/playstation-3/call-of-duty-classic"
"Call of Duty: Black Ops","ps3",88,"2010-11-09","https://www.metacritic.com/game/playstation-3/call-of-duty-black-ops"
"Call of Duty: Black Ops","wii",80,"2010-11-09","https://www.metacritic.com/game/wii/call-of-duty-black-ops"
"Call of Duty: Black Ops","xbox360",87,"2010-11-09","https://www.metacritic.com/game/xbox-360/call-of-duty-black-ops"
"Call of Duty: Black Ops - Annihilation","xbox360",78,"2011-06-28","https://www.metacritic.com/game/xbox-360/call-of-duty-black-ops---annihilation"
"Call of Duty: Black Ops - Escalation","xbox360",79,"2011-05-03","https://www.metacritic.com/game/xbox-360/call-of-duty-black-ops---escalation"
"Call of Duty: Black Ops - First Strike","xbox360",78,"2011-02-01","https://www.metacritic.com/game/xbox-360/call-of-duty-black-ops---first-strike"
"Call of Duty: Black Ops II","ps3",83,"2012-11-13","https://www.metacritic.com/game/playstation-3/call-of-duty-black-ops-ii"
"Call of Duty: Black Ops II","wiiu",81,"2012-11-18","https://www.metacritic.com/game/wii-u/call-of-duty-black-ops-ii"
"Call of Duty: Black Ops II","xbox360",83,"2012-11-13","https://www.metacritic.com/game/xbox-360/call-of-duty-black-ops-ii"
"Call of Duty: Finest Hour","ps2",76,"2004-11-16","https://www.metacritic.com/game/playstation-2/call-of-duty-finest-hour"
"Call of Duty: Finest Hour","xbox",73,"2004-11-16","https://www.metacritic.com/game/xbox/call-of-duty-finest-hour"
"Call of Duty: Ghosts","ps3",71,"2013-11-05","https://www.metacritic.com/game/playstation-3/call-of-duty-ghosts"
"Call of Duty: Modern Warfare - Reflex Edition","wii",76,"2009-11-10","https://www.metacritic.com/game/wii/call-of-duty-modern-warfare---reflex-edition"
"Call of Duty: Modern Warfare 2","ps3",94,"2009-11-10","https://www.metacritic.com/game/playstation-3/call-of-duty-modern-warfare-2"
"Call of Duty: Modern Warfare 2","xbox360",94,"2009-11-10","https://www.metacritic.com/game/xbox-360/call-of-duty-modern-warfare-2"
"Call of Duty: Modern Warfare 3","ps3",88,"2011-11-08","https://www.metacritic.com/game/playstation-3/call-of-duty-modern-warfare-3"
"Call of Duty: Modern Warfare 3","wii",70,"2011-11-08","https://www.metacritic.com/game/wii/call-of-duty-modern-warfare-3"
"Call of Duty: Modern Warfare 3","xbox360",88,"2011-11-08","https://www.metacritic.com/game/xbox-360/call-of-duty-modern-warfare-3"
"Call of Duty: World at War","ps3",85,"2008-11-10","https://www.metacritic.com/game/playstation-3/call-of-duty-world-at-war"
"Call of Duty: World at War","wii",83,"2008-11-10","https://www.metacritic.com/game/wii/call-of-duty-world-at-war"
"Call of Duty: World at War","xbox360",84,"2008-11-10","https://www.metacritic.com/game/xbox-360/call-of-duty-world-at-war"
"Call of Juarez: Bound in Blood","ps3",78,"2009-06-30","https://www.metacritic.com/game/playstation-3/call-of-juarez-bound-in-blood"
"Call of Juarez: Bound in Blood","xbox360",77,"2009-06-30","https://www.metacritic.com/game/xbox-360/call-of-juarez-bound-in-blood"
"Call of Juarez: Gunslinger","ps3",75,"2013-05-14","https://www.metacritic.com/game/playstation-3/call-of-juarez-gunslinger"
"Calling All Cars!","ps3",74,"2007-05-10","https://www.metacritic.com/game/playstation-3/calling-all-cars!"
"Canvaleon","wiiu",49,"2015-07-23","https://www.metacritic.com/game/wii-u/canvaleon"
"Capcom Arcade Cabinet","ps3",69,"2013-02-19","https://www.metacritic.com/game/playstation-3/capcom-arcade-cabinet"
"Capcom Classics Collection","ps2",78,"2005-09-27","https://www.metacritic.com/game/playstation-2/capcom-classics-collection"
"Capcom Classics Collection","xbox",81,"2005-09-27","https://www.metacritic.com/game/xbox/capcom-classics-collection"
"Capcom Classics Collection Vol. 2","xbox",72,"2006-11-24","https://www.metacritic.com/game/xbox/capcom-classics-collection-vol-2"
"Capcom Classics Collection Volume 2","ps2",74,"2006-11-24","https://www.metacritic.com/game/playstation-2/capcom-classics-collection-volume-2"
"Capcom vs. SNK 2 EO","xbox",80,"2003-02-11","https://www.metacritic.com/game/xbox/capcom-vs-snk-2-eo"
"Captain Toad: Treasure Tracker","wiiu",81,"2014-12-05","https://www.metacritic.com/game/wii-u/captain-toad-treasure-tracker"
"Carcassonne","xbox360",79,"2007-06-27","https://www.metacritic.com/game/xbox-360/carcassonne"
"Cars","ps2",71,"2006-06-06","https://www.metacritic.com/game/playstation-2/cars"
"Cars","xbox",70,"2006-06-06","https://www.metacritic.com/game/xbox/cars"
"Cars 2: The Video Game","ps3",74,"2011-06-21","https://www.metacritic.com/game/playstation-3/cars-2-the-video-game"
"Cars 2: The Video Game","wii",69,"2011-06-21","https://www.metacritic.com/game/wii/cars-2-the-video-game"
"Castle Crashers","ps3",85,"2010-08-31","https://www.metacritic.com/game/playstation-3/castle-crashers"
"Castle Crashers","xbox360",82,"2008-08-27","https://www.metacritic.com/game/xbox-360/castle-crashers"
"CastleStorm","wiiu",83,"2013-12-26","https://www.metacritic.com/game/wii-u/castlestorm"
"CastleStorm","xbox360",79,"2013-05-29","https://www.metacritic.com/game/xbox-360/castlestorm"
"Castlevania: Curse of Darkness","ps2",70,"2005-11-01","https://www.metacritic.com/game/playstation-2/castlevania-curse-of-darkness"
"Castlevania: Curse of Darkness","xbox",74,"2005-11-01","https://www.metacritic.com/game/xbox/castlevania-curse-of-darkness"
"Castlevania: Harmony of Despair","ps3",68,"2011-09-27","https://www.metacritic.com/game/playstation-3/castlevania-harmony-of-despair"
"Castlevania: Lament of Innocence","ps2",79,"2003-10-21","https://www.metacritic.com/game/playstation-2/castlevania-lament-of-innocence"
"Castlevania: Lords of Shadow","ps3",85,"2010-10-05","https://www.metacritic.com/game/playstation-3/castlevania-lords-of-shadow"
"Castlevania: Lords of Shadow","xbox360",83,"2010-10-05","https://www.metacritic.com/game/xbox-360/castlevania-lords-of-shadow"
"Castlevania: Lords of Shadow - Mirror of Fate HD","ps3",70,"2013-10-29","https://www.metacritic.com/game/playstation-3/castlevania-lords-of-shadow---mirror-of-fate-hd"
"Castlevania: Symphony of the Night","xbox360",89,"2007-03-21","https://www.metacritic.com/game/xbox-360/castlevania-symphony-of-the-night"
"Castlevania: The Adventure ReBirth","wii",78,"2009-12-28","https://www.metacritic.com/game/wii/castlevania-the-adventure-rebirth"
"Catan","xbox360",81,"2007-05-02","https://www.metacritic.com/game/xbox-360/catan"
"Catherine","ps3",79,"2011-07-26","https://www.metacritic.com/game/playstation-3/catherine"
"Catherine","xbox360",82,"2011-07-26","https://www.metacritic.com/game/xbox-360/catherine"
"Cave Story","wii",89,"2010-03-22","https://www.metacritic.com/game/wii/cave-story"
"CellFactor: Psychokinetic Wars","ps3",71,"2009-06-04","https://www.metacritic.com/game/playstation-3/cellfactor-psychokinetic-wars"
"Champions: Return to Arms","ps2",77,"2005-02-07","https://www.metacritic.com/game/playstation-2/champions-return-to-arms"
"Chariot","wiiu",76,"2015-01-08","https://www.metacritic.com/game/wii-u/chariot"
"Charlie Murder","xbox360",78,"2013-08-14","https://www.metacritic.com/game/xbox-360/charlie-murder"
"Chasing Aurora","wiiu",64,"2012-11-18","https://www.metacritic.com/game/wii-u/chasing-aurora"
"Chessmaster","ps2",79,"2003-05-28","https://www.metacritic.com/game/playstation-2/chessmaster"
"Chessmaster","xbox",79,"2004-10-26","https://www.metacritic.com/game/xbox/chessmaster"
"chick chick BOOM","wii",72,"2010-12-27","https://www.metacritic.com/game/wii/chick-chick-boom"
"Child of Eden","ps3",81,"2011-09-27","https://www.metacritic.com/game/playstation-3/child-of-eden"
"Child of Eden","xbox360",84,"2011-06-14","https://www.metacritic.com/game/xbox-360/child-of-eden"
"Child of Light","wiiu",84,"2014-04-29","https://www.metacritic.com/game/wii-u/child-of-light"
"Chime","xbox360",79,"2010-02-03","https://www.metacritic.com/game/xbox-360/chime"
"Chime Super Deluxe","ps3",78,"2011-03-29","https://www.metacritic.com/game/playstation-3/chime-super-deluxe"
"Choplifter HD","ps3",71,"2012-01-10","https://www.metacritic.com/game/playstation-3/choplifter-hd"
"Citizens of Earth","wiiu",67,"2015-01-20","https://www.metacritic.com/game/wii-u/citizens-of-earth"
"Clock Tower 3","ps2",69,"2003-03-18","https://www.metacritic.com/game/playstation-2/clock-tower-3"
"Cloning Clyde","xbox360",80,"2006-07-19","https://www.metacritic.com/game/xbox-360/cloning-clyde"
"Close Combat: First to Fight","xbox",69,"2005-04-06","https://www.metacritic.com/game/xbox/close-combat-first-to-fight"
"Closure","ps3",81,"2012-03-27","https://www.metacritic.com/game/playstation-3/closure"
"Cloudberry Kingdom","ps3",75,"2013-07-30","https://www.metacritic.com/game/playstation-3/cloudberry-kingdom"
"Cloudberry Kingdom","wiiu",75,"2013-08-01","https://www.metacritic.com/game/wii-u/cloudberry-kingdom"
"CMT Presents: Karaoke Revolution Country","ps2",71,"2006-03-21","https://www.metacritic.com/game/playstation-2/cmt-presents-karaoke-revolution-country"
"Cold Fear","ps2",68,"2005-03-15","https://www.metacritic.com/game/playstation-2/cold-fear"
"Cold Fear","xbox",71,"2005-03-15","https://www.metacritic.com/game/xbox/cold-fear"
"Cold Winter","ps2",73,"2005-05-11","https://www.metacritic.com/game/playstation-2/cold-winter"
"Colin McRae Rally 04","xbox",84,"2004-03-04","https://www.metacritic.com/game/xbox/colin-mcrae-rally-04"
"Colin McRae Rally 2005","xbox",83,"2004-09-28","https://www.metacritic.com/game/xbox/colin-mcrae-rally-2005"
"Colin McRae Rally 3","xbox",86,"2003-02-18","https://www.metacritic.com/game/xbox/colin-mcrae-rally-3"
"College Hoops 2K6","ps2",77,"2005-11-30","https://www.metacritic.com/game/playstation-2/college-hoops-2k6"
"College Hoops 2K6","xbox",82,"2005-11-21","https://www.metacritic.com/game/xbox/college-hoops-2k6"
"College Hoops 2K7","ps3",81,"2007-03-13","https://www.metacritic.com/game/playstation-3/college-hoops-2k7"
"College Hoops 2K7","xbox",73,"2006-11-20","https://www.metacritic.com/game/xbox/college-hoops-2k7"
"College Hoops 2K7","xbox360",82,"2006-11-20","https://www.metacritic.com/game/xbox-360/college-hoops-2k7"
"College Hoops 2K8","ps3",82,"2007-11-19","https://www.metacritic.com/game/playstation-3/college-hoops-2k8"
"College Hoops 2K8","xbox360",81,"2007-11-19","https://www.metacritic.com/game/xbox-360/college-hoops-2k8"
"Comet Crash","ps3",83,"2009-04-02","https://www.metacritic.com/game/playstation-3/comet-crash"
"Command & Conquer 3: Tiberium Wars","xbox360",82,"2007-05-08","https://www.metacritic.com/game/xbox-360/command-conquer-3-tiberium-wars"
"Command & Conquer: Red Alert 3","ps3",75,"2009-03-23","https://www.metacritic.com/game/playstation-3/command-conquer-red-alert-3"
"Command & Conquer: Red Alert 3","xbox360",77,"2008-11-11","https://www.metacritic.com/game/xbox-360/command-conquer-red-alert-3"
"Conan","ps3",69,"2007-10-23","https://www.metacritic.com/game/playstation-3/conan"
"Condemned 2: Bloodshot","ps3",82,"2008-03-18","https://www.metacritic.com/game/playstation-3/condemned-2-bloodshot"
"Condemned 2: Bloodshot","xbox360",80,"2008-03-11","https://www.metacritic.com/game/xbox-360/condemned-2-bloodshot"
"Condemned: Criminal Origins","xbox360",81,"2005-11-16","https://www.metacritic.com/game/xbox-360/condemned-criminal-origins"
"Conflict: Desert Storm II - Back to Baghdad","ps2",70,"2003-10-08","https://www.metacritic.com/game/playstation-2/conflict-desert-storm-ii---back-to-baghdad"
"Conflict: Desert Storm II - Back to Baghdad","xbox",71,"2003-10-04","https://www.metacritic.com/game/xbox/conflict-desert-storm-ii---back-to-baghdad"
"Conker: Live & Reloaded","xbox",78,"2005-06-21","https://www.metacritic.com/game/xbox/conker-live-reloaded"
"Contra ReBirth","wii",76,"2009-09-07","https://www.metacritic.com/game/wii/contra-rebirth"
"Contra: Shattered Soldier","ps2",78,"2002-10-22","https://www.metacritic.com/game/playstation-2/contra-shattered-soldier"
"Cool Boarders 2001","ps2",78,"2001-05-21","https://www.metacritic.com/game/playstation-2/cool-boarders-2001"
"Cosmophony","wiiu",73,"2014-10-30","https://www.metacritic.com/game/wii-u/cosmophony"
"Costume Quest","ps3",77,"2010-10-19","https://www.metacritic.com/game/playstation-3/costume-quest"
"Counter-Strike","xbox",74,"2003-11-18","https://www.metacritic.com/game/xbox/counter-strike"
"Counter-Strike: Global Offensive","ps3",80,"2012-08-21","https://www.metacritic.com/game/playstation-3/counter-strike-global-offensive"
"Counter-Strike: Global Offensive","xbox360",79,"2012-08-22","https://www.metacritic.com/game/xbox-360/counter-strike-global-offensive"
"Crackdown","xbox360",83,"2007-02-20","https://www.metacritic.com/game/xbox-360/crackdown"
"Crash Bandicoot: The Wrath of Cortex","xbox",70,"2002-04-15","https://www.metacritic.com/game/xbox/crash-bandicoot-the-wrath-of-cortex"
"Crash Commando","ps3",78,"2008-12-18","https://www.metacritic.com/game/playstation-3/crash-commando"
"Crash Nitro Kart","ps2",69,"2003-11-11","https://www.metacritic.com/game/playstation-2/crash-nitro-kart"
"Crash Nitro Kart","xbox",70,"2003-11-11","https://www.metacritic.com/game/xbox/crash-nitro-kart"
"Crash of the Titans","ps2",70,"2007-10-04","https://www.metacritic.com/game/playstation-2/crash-of-the-titans"
"Crash Tag Team Racing","xbox",69,"2005-10-20","https://www.metacritic.com/game/xbox/crash-tag-team-racing"
"Crash: Mind Over Mutant","ps2",73,"2008-10-07","https://www.metacritic.com/game/playstation-2/crash-mind-over-mutant"
"Crash: Mind Over Mutant","wii",70,"2008-10-07","https://www.metacritic.com/game/wii/crash-mind-over-mutant"
"Crazy Taxi 3: High Roller","xbox",69,"2002-07-24","https://www.metacritic.com/game/xbox/crazy-taxi-3-high-roller"
"Crimson Sea","xbox",78,"2002-12-16","https://www.metacritic.com/game/xbox/crimson-sea"
"Crimson Sea 2","ps2",75,"2004-03-30","https://www.metacritic.com/game/playstation-2/crimson-sea-2"
"Crimson Skies: High Road to Revenge","xbox",88,"2003-10-21","https://www.metacritic.com/game/xbox/crimson-skies-high-road-to-revenge"
"Critter Crunch","ps3",87,"2009-10-08","https://www.metacritic.com/game/playstation-3/critter-crunch"
"Crysis","ps3",81,"2011-10-04","https://www.metacritic.com/game/playstation-3/crysis"
"Crysis","xbox360",81,"2011-10-04","https://www.metacritic.com/game/xbox-360/crysis"
"Crysis 2","ps3",85,"2011-03-22","https://www.metacritic.com/game/playstation-3/crysis-2"
"Crysis 2","xbox360",84,"2011-03-22","https://www.metacritic.com/game/xbox-360/crysis-2"
"Crysis 3","ps3",77,"2013-02-19","https://www.metacritic.com/game/playstation-3/crysis-3"
"Cube Life: Island Survival","wiiu",55,"2015-06-04","https://www.metacritic.com/game/wii-u/cube-life-island-survival"
"Cubemen 2","wiiu",63,"2014-09-04","https://www.metacritic.com/game/wii-u/cubemen-2"
"Cubixx HD","ps3",70,"2011-09-20","https://www.metacritic.com/game/playstation-3/cubixx-hd"
"Cuboid","ps3",79,"2009-01-08","https://www.metacritic.com/game/playstation-3/cuboid"
"Culdcept","ps2",78,"2003-12-04","https://www.metacritic.com/game/playstation-2/culdcept"
"Dai Senryaku VII: Modern Military Tactics","xbox",74,"2005-02-16","https://www.metacritic.com/game/xbox/dai-senryaku-vii-modern-military-tactics"
"Dance Central","xbox360",82,"2010-11-04","https://www.metacritic.com/game/xbox-360/dance-central"
"Dance Central 2","xbox360",86,"2011-10-25","https://www.metacritic.com/game/xbox-360/dance-central-2"
"Dance Central 3","xbox360",86,"2012-10-16","https://www.metacritic.com/game/xbox-360/dance-central-3"
"Dance Dance Revolution Extreme","ps2",77,"2004-09-21","https://www.metacritic.com/game/playstation-2/dance-dance-revolution-extreme"
"Dance Dance Revolution Extreme 2","ps2",76,"2005-09-27","https://www.metacritic.com/game/playstation-2/dance-dance-revolution-extreme-2"
"Dance Dance Revolution Hottest Party","wii",73,"2007-09-25","https://www.metacritic.com/game/wii/dance-dance-revolution-hottest-party"
"Dance Dance Revolution SuperNOVA","ps2",73,"2006-09-26","https://www.metacritic.com/game/playstation-2/dance-dance-revolution-supernova"
"Dance Dance Revolution SuperNOVA 2","ps2",70,"2007-09-25","https://www.metacritic.com/game/playstation-2/dance-dance-revolution-supernova-2"
"Dance Dance Revolution Ultramix","xbox",82,"2003-11-20","https://www.metacritic.com/game/xbox/dance-dance-revolution-ultramix"
"Dance Dance Revolution Ultramix 2","xbox",78,"2004-11-18","https://www.metacritic.com/game/xbox/dance-dance-revolution-ultramix-2"
"Dance Dance Revolution Ultramix 3","xbox",75,"2005-11-15","https://www.metacritic.com/game/xbox/dance-dance-revolution-ultramix-3"
"DanceStar Party Hits","ps3",68,"2012-10-12","https://www.metacritic.com/game/playstation-3/dancestar-party-hits"
"Dante's Inferno","ps3",75,"2010-02-09","https://www.metacritic.com/game/playstation-3/dantes-inferno"
"Dark Sector","ps3",72,"2008-03-25","https://www.metacritic.com/game/playstation-3/dark-sector"
"Dark Souls","ps3",89,"2011-10-04","https://www.metacritic.com/game/playstation-3/dark-souls"
"Dark Souls","xbox360",89,"2011-10-04","https://www.metacritic.com/game/xbox-360/dark-souls"
"Dark Souls II","ps3",91,"2014-03-11","https://www.metacritic.com/game/playstation-3/dark-souls-ii"
"Dark Souls II","xbox360",91,"2014-03-11","https://www.metacritic.com/game/xbox-360/dark-souls-ii"
"Dark Souls II: Crown of the Ivory King","ps3",87,"2014-09-30","https://www.metacritic.com/game/playstation-3/dark-souls-ii-crown-of-the-ivory-king"
"Dark Souls II: Crown of the Ivory King","xbox360",83,"2014-09-29","https://www.metacritic.com/game/xbox-360/dark-souls-ii-crown-of-the-ivory-king"
"Dark Souls II: Crown of the Old Iron King","ps3",83,"2014-08-26","https://www.metacritic.com/game/playstation-3/dark-souls-ii-crown-of-the-old-iron-king"
"Dark Souls II: Crown of the Sunken King","ps3",83,"2014-07-22","https://www.metacritic.com/game/playstation-3/dark-souls-ii-crown-of-the-sunken-king"
"Dark Souls II: Crown of the Sunken King","xbox360",80,"2014-07-22","https://www.metacritic.com/game/xbox-360/dark-souls-ii-crown-of-the-sunken-king"
"Dark Souls: Artorias of the Abyss","xbox360",89,"2012-10-23","https://www.metacritic.com/game/xbox-360/dark-souls-artorias-of-the-abyss"
"Dark Summit","xbox",71,"2001-11-12","https://www.metacritic.com/game/xbox/dark-summit"
"Darksiders","ps3",82,"2010-01-05","https://www.metacritic.com/game/playstation-3/darksiders"
"Darksiders","xbox360",83,"2010-01-05","https://www.metacritic.com/game/xbox-360/darksiders"
"Darksiders II","ps3",84,"2012-08-14","https://www.metacritic.com/game/playstation-3/darksiders-ii"
"Darksiders II","wiiu",85,"2012-11-18","https://www.metacritic.com/game/wii-u/darksiders-ii"
"Darksiders II","xbox360",83,"2012-08-14","https://www.metacritic.com/game/xbox-360/darksiders-ii"
"Darkstalkers Resurrection","ps3",80,"2013-03-12","https://www.metacritic.com/game/playstation-3/darkstalkers-resurrection"
"Darkstalkers Resurrection","xbox360",82,"2013-03-13","https://www.metacritic.com/game/xbox-360/darkstalkers-resurrection"
"Darkwatch","ps2",74,"2005-08-16","https://www.metacritic.com/game/playstation-2/darkwatch"
"Darkwatch","xbox",75,"2005-08-16","https://www.metacritic.com/game/xbox/darkwatch"
"Darwinia+","xbox360",80,"2010-02-10","https://www.metacritic.com/game/xbox-360/darwinia+"
"Dave Mirra Freestyle BMX 2","xbox",76,"2001-11-28","https://www.metacritic.com/game/xbox/dave-mirra-freestyle-bmx-2"
"Dawn of Discovery","wii",81,"2009-06-23","https://www.metacritic.com/game/wii/dawn-of-discovery"
"Daytona USA","ps3",71,"2011-10-25","https://www.metacritic.com/game/playstation-3/daytona-usa"
"Daytona USA","xbox360",77,"2011-10-26","https://www.metacritic.com/game/xbox-360/daytona-usa"
"de Blob","wii",82,"2008-09-22","https://www.metacritic.com/game/wii/de-blob"
"de Blob 2","ps3",74,"2011-02-22","https://www.metacritic.com/game/playstation-3/de-blob-2"
"de Blob 2","wii",79,"2011-02-22","https://www.metacritic.com/game/wii/de-blob-2"
"Dead Island","ps3",71,"2011-09-06","https://www.metacritic.com/game/playstation-3/dead-island"
"Dead Nation","ps3",77,"2010-11-30","https://www.metacritic.com/game/playstation-3/dead-nation"
"Dead Nation: Road of Devastation","ps3",75,"2011-09-27","https://www.metacritic.com/game/playstation-3/dead-nation-road-of-devastation"
"Dead or Alive 3","xbox",87,"2001-11-14","https://www.metacritic.com/game/xbox/dead-or-alive-3"
"Dead or Alive 4","xbox360",85,"2005-12-29","https://www.metacritic.com/game/xbox-360/dead-or-alive-4"
"Dead or Alive 5","ps3",74,"2012-09-25","https://www.metacritic.com/game/playstation-3/dead-or-alive-5"
"Dead or Alive 5 Ultimate","ps3",77,"2013-09-03","https://www.metacritic.com/game/playstation-3/dead-or-alive-5-ultimate"
"Dead or Alive Ultimate","xbox",83,"2004-10-26","https://www.metacritic.com/game/xbox/dead-or-alive-ultimate"
"Dead or Alive Xtreme Beach Volleyball","xbox",73,"2003-01-22","https://www.metacritic.com/game/xbox/dead-or-alive-xtreme-beach-volleyball"
"Dead Rising","xbox360",85,"2006-08-08","https://www.metacritic.com/game/xbox-360/dead-rising"
"Dead Rising 2","ps3",80,"2010-09-28","https://www.metacritic.com/game/playstation-3/dead-rising-2"
"Dead Rising 2","xbox360",79,"2010-09-28","https://www.metacritic.com/game/xbox-360/dead-rising-2"
"Dead Rising 2: Case Zero","xbox360",79,"2010-08-31","https://www.metacritic.com/game/xbox-360/dead-rising-2-case-zero"
"Dead Rising 2: Off the Record","ps3",72,"2011-10-11","https://www.metacritic.com/game/playstation-3/dead-rising-2-off-the-record"
"Dead Space","ps3",88,"2008-10-13","https://www.metacritic.com/game/playstation-3/dead-space"
"Dead Space","xbox360",89,"2008-10-13","https://www.metacritic.com/game/xbox-360/dead-space"
"Dead Space 2","ps3",89,"2011-01-25","https://www.metacritic.com/game/playstation-3/dead-space-2"
"Dead Space 2","xbox360",90,"2011-01-25","https://www.metacritic.com/game/xbox-360/dead-space-2"
"Dead Space 3","ps3",76,"2013-02-05","https://www.metacritic.com/game/playstation-3/dead-space-3"
"Dead Space 3","xbox360",78,"2013-02-05","https://www.metacritic.com/game/xbox-360/dead-space-3"
"Dead Space: Extraction","ps3",79,"2011-01-25","https://www.metacritic.com/game/playstation-3/dead-space-extraction"
"Dead Space: Extraction","wii",82,"2009-09-29","https://www.metacritic.com/game/wii/dead-space-extraction"
"Dead to Rights","ps2",73,"2002-11-18","https://www.metacritic.com/game/playstation-2/dead-to-rights"
"Dead to Rights","xbox",73,"2002-08-19","https://www.metacritic.com/game/xbox/dead-to-rights"
"Deadly Creatures","wii",72,"2009-02-09","https://www.metacritic.com/game/wii/deadly-creatures"
"Deadly Premonition: The Director's Cut","ps3",70,"2013-04-30","https://www.metacritic.com/game/playstation-3/deadly-premonition-the-directors-cut"
"Death Jr.: Root of Evil","wii",71,"2008-05-27","https://www.metacritic.com/game/wii/death-jr-root-of-evil"
"Deathrow","xbox",79,"2002-10-22","https://www.metacritic.com/game/xbox/deathrow"
"DeathSpank","ps3",79,"2010-07-13","https://www.metacritic.com/game/playstation-3/deathspank"
"DeathSpank","xbox360",79,"2010-07-14","https://www.metacritic.com/game/xbox-360/deathspank"
"DeathSpank: Thongs of Virtue","ps3",78,"2010-09-21","https://www.metacritic.com/game/playstation-3/deathspank-thongs-of-virtue"
"DeathSpank: Thongs of Virtue","xbox360",78,"2011-01-04","https://www.metacritic.com/game/xbox-360/deathspank-thongs-of-virtue"
"Deception IV: Blood Ties","ps3",70,"2014-03-25","https://www.metacritic.com/game/playstation-3/deception-iv-blood-ties"
"Def Jam Rapstar","ps3",75,"2010-10-05","https://www.metacritic.com/game/playstation-3/def-jam-rapstar"
"Def Jam: Fight for NY","xbox",84,"2004-09-20","https://www.metacritic.com/game/xbox/def-jam-fight-for-ny"
"Def Jam: Icon","ps3",68,"2007-03-06","https://www.metacritic.com/game/playstation-3/def-jam-icon"
"Defender","ps2",73,"2002-10-22","https://www.metacritic.com/game/playstation-2/defender"
"Defender","xbox",69,"2002-10-22","https://www.metacritic.com/game/xbox/defender"
"Defense Grid: The Awakening","xbox360",82,"2009-09-02","https://www.metacritic.com/game/xbox-360/defense-grid-the-awakening"
"Demon's Souls","ps3",89,"2009-10-06","https://www.metacritic.com/game/playstation-3/demons-souls"
"Derrick the Deathfin","ps3",72,"2012-10-09","https://www.metacritic.com/game/playstation-3/derrick-the-deathfin"
"Destroy All Humans!","ps2",74,"2005-06-21","https://www.metacritic.com/game/playstation-2/destroy-all-humans!"
"Destroy All Humans!","xbox",76,"2005-06-21","https://www.metacritic.com/game/xbox/destroy-all-humans!"
