platform,Title,Score,compatibility,link,user score,release date,Price,price charting id,,release year,score tier,score pctl,price tier,price pctl,points per dollar,ppd 69,
gamecube,Enter the Matrix,63,none,https://www.metacritic.com/game/gamecube/enter-the-matrix,8,"May 14, 2003",9.4,gcn0127,,2003,60-64pts,0.148,$05.00-9.99,,6.702,-0.638,
gamecube,Eternal Darkness: Sanity's Requiem,92,none,https://www.metacritic.com/game/gamecube/eternal-darkness-sanitys-requiem,8.7,"Jun 23, 2002",60.75,gcn0128,,2002,90-94pts,0.962,$60.00-64.99,,1.514,0.379,
gamecube,Evolution Worlds,63,none,https://www.metacritic.com/game/gamecube/evolution-worlds,8.3,"Dec 2, 2002",18.18,gcn0131,,2002,60-64pts,0.148,$15.00-19.99,,3.465,-0.330,
gamecube,F-Zero GX,89,none,https://www.metacritic.com/game/gamecube/f-zero-gx,8.7,"Aug 26, 2003",52.24,gcn0132,,2003,85-89pts,0.912,$50.00-54.99,,1.704,0.383,
gamecube,F1 2002,72,none,https://www.metacritic.com/game/gamecube/f1-2002,7.8,"Jun 22, 2002",9.57,gcn0133,,2002,70-74pts,0.449,$05.00-9.99,,7.524,0.313,
gamecube,Fantastic 4,61,none,https://www.metacritic.com/game/gamecube/fantastic-4,4,"Jun 27, 2005",6.39,gcn0146,,2005,60-64pts,0.093,$05.00-9.99,,9.546,-1.252,
gamecube,FIFA 07 Soccer,80,none,https://www.metacritic.com/game/gamecube/fifa-07-soccer,8.2,"Oct 3, 2006",7.82,gcn0135,,2006,80-84pts,0.689,$05.00-9.99,,10.230,1.407,
gamecube,FIFA Soccer 06,80,none,https://www.metacritic.com/game/gamecube/fifa-soccer-06,8.2,"Oct 4, 2005",5.25,gcn0134,,2005,80-84pts,0.689,$05.00-9.99,,15.238,2.095,
gamecube,FIFA Soccer 2002,81,none,https://www.metacritic.com/game/gamecube/fifa-soccer-2002,8.1,"Nov 21, 2001",2.17,gcn0136,,2001,80-84pts,0.729,$00.00-4.99,,37.327,5.530,
gamecube,FIFA Soccer 2003,86,none,https://www.metacritic.com/game/gamecube/fifa-soccer-2003,7.9,"Nov 14, 2002",2.13,gcn0138,,2002,85-89pts,0.86,$00.00-4.99,,40.376,7.981,
gamecube,FIFA Soccer 2004,83,none,https://www.metacritic.com/game/gamecube/fifa-soccer-2004,6.3,"Nov 4, 2003",5.29,gcn0139,,2003,80-84pts,0.789,$05.00-9.99,,15.690,2.647,
gamecube,FIFA Soccer 2005,78,none,https://www.metacritic.com/game/gamecube/fifa-soccer-2005,8.3,"Oct 12, 2004",5.24,gcn0140,,2004,75-79pts,0.637,$05.00-9.99,,14.885,1.718,
gamecube,FIFA Street 2,63,none,https://www.metacritic.com/game/gamecube/fifa-street-2,6.5,"Feb 28, 2006",12.48,gcn0142,,2006,60-64pts,0.148,$10.00-14.99,,5.048,-0.481,
gamecube,FIFA World Cup: Germany 2006,76,none,https://www.metacritic.com/game/gamecube/fifa-world-cup-germany-2006,6.5,"Apr 24, 2006",5.36,gcn0143,,2006,75-79pts,0.561,$05.00-9.99,,14.179,1.306,
gamecube,Fight Night Round 2,87,none,https://www.metacritic.com/game/gamecube/fight-night-round-2,8.2,"Feb 28, 2005",15.94,gcn0147,,2005,85-89pts,0.872,$15.00-19.99,,5.458,1.129,
gamecube,Final Fantasy Crystal Chronicles,80,none,https://www.metacritic.com/game/gamecube/final-fantasy-crystal-chronicles,9,"Feb 9, 2004",8.04,gcn0148,,2004,80-84pts,0.689,$05.00-9.99,,9.950,1.368,
gamecube,Finding Nemo,62,none,https://www.metacritic.com/game/gamecube/finding-nemo,5.4,"May 12, 2003",3.5,gcn0149,,2003,60-64pts,0.115,$00.00-4.99,,17.714,-2.000,
gamecube,Chibi-Robo!,75,none,https://www.metacritic.com/game/gamecube/chibi-robo!,8.6,"Feb 6, 2006",$135.45,gcn0074,,2006,75-79pts,0.529,$135.00-139.99,,0.554,0.044,
gamecube,Freaky Flyers,69,none,https://www.metacritic.com/game/gamecube/freaky-flyers,6.5,"Aug 8, 2003",13.65,gcn0153,,2003,65-69pts,0.331,$10.00-14.99,,5.055,0.000,
gamecube,Freedom Fighters,83,none,https://www.metacritic.com/game/gamecube/freedom-fighters,7.5,"Oct 1, 2003",10.15,gcn0154,,2003,80-84pts,0.789,$10.00-14.99,,8.177,1.379,
gamecube,Freekstyle,78,none,https://www.metacritic.com/game/gamecube/freekstyle,8.5,"Sep 5, 2002",10.04,gcn0155,,2002,75-79pts,0.637,$10.00-14.99,,7.769,0.896,
gamecube,From Russia With Love,70,none,https://www.metacritic.com/game/gamecube/from-russia-with-love,8.6,"Nov 15, 2005",12.99,gcn0002,,2005,70-74pts,0.368,$10.00-14.99,,5.389,0.077,
gamecube,Future Tactics: The Uprising,63,none,https://www.metacritic.com/game/gamecube/future-tactics-the-uprising,,"May 10, 2004",5.74,gcn0161,,2004,60-64pts,0.148,$05.00-9.99,,10.976,-1.045,
gamecube,Gauntlet: Dark Legacy,60,none,https://www.metacritic.com/game/gamecube/gauntlet-dark-legacy,8.6,"Mar 6, 2002",63.7,gcn0165,,2002,60-64pts,0.065,$60.00-64.99,,0.942,-0.141,
gamecube,Geist,66,none,https://www.metacritic.com/game/gamecube/geist,8.1,"Aug 15, 2005",17,gcn0166,,2005,65-69pts,0.228,$15.00-19.99,,3.882,-0.176,
gamecube,Gladius,82,none,https://www.metacritic.com/game/gamecube/gladius,7.9,"Nov 3, 2003",16.71,gcn0169,,2003,80-84pts,0.759,$15.00-19.99,,4.907,0.778,
gamecube,Skies of Arcadia Legends,84,none,https://www.metacritic.com/game/gamecube/skies-of-arcadia-legends,8.7,"Jan 27, 2003",$129.50,gcn0455,,2003,80-84pts,0.817,$125.00-129.99,,0.649,0.116,
gamecube,Goblin Commander: Unleash the Horde,71,none,https://www.metacritic.com/game/gamecube/goblin-commander-unleash-the-horde,7.8,"Dec 16, 2003",23.8,gcn0171,,2003,70-74pts,0.406,$20.00-24.99,,2.983,0.084,
gamecube,Godzilla: Destroy All Monsters Melee,73,none,https://www.metacritic.com/game/gamecube/godzilla-destroy-all-monsters-melee,7.4,"Oct 8, 2002",22.44,gcn0172,,2002,70-74pts,0.474,$20.00-24.99,,3.253,0.178,
gamecube,GoldenEye: Rogue Agent,60,none,https://www.metacritic.com/game/gamecube/goldeneye-rogue-agent,6.8,"Nov 22, 2004",6.52,gcn0173,,2004,60-64pts,0.065,$05.00-9.99,,9.202,-1.380,
gamecube,Ribbit King,60,none,https://www.metacritic.com/game/gamecube/ribbit-king,7.3,"Jun 8, 2004",$117.24,gcn0426,,2004,60-64pts,0.065,$115.00-119.99,,0.512,-0.077,
gamecube,Gun,77,none,https://www.metacritic.com/game/gamecube/gun,8.3,"Nov 8, 2005",9.99,gcn0177,,2005,75-79pts,0.609,$05.00-9.99,,7.708,0.801,
gamecube,Harry Potter and the Chamber of Secrets,77,none,https://www.metacritic.com/game/gamecube/harry-potter-and-the-chamber-of-secrets,8.3,"Nov 14, 2002",9.95,gcn0179,,2002,75-79pts,0.609,$05.00-9.99,,7.739,0.804,
gamecube,Harry Potter and the Goblet of Fire,69,none,https://www.metacritic.com/game/gamecube/harry-potter-and-the-goblet-of-fire,5.5,"Nov 8, 2005",7.99,gcn0183,,2005,65-69pts,0.331,$05.00-9.99,,8.636,0.000,
gamecube,Harry Potter and the Prisoner of Azkaban,67,none,https://www.metacritic.com/game/gamecube/harry-potter-and-the-prisoner-of-azkaban,7.7,"Jun 2, 2004",6.97,gcn0180,,2004,65-69pts,0.266,$05.00-9.99,,9.613,-0.287,
gamecube,Harry Potter and the Sorcerer's Stone,62,none,https://www.metacritic.com/game/gamecube/harry-potter-and-the-sorcerers-stone,8.5,"Dec 9, 2003",57.48,gcn0182,,2003,60-64pts,0.115,$55.00-59.99,,1.079,-0.122,
gamecube,Harry Potter: Quidditch World Cup,68,none,https://www.metacritic.com/game/gamecube/harry-potter-quidditch-world-cup,8.4,"Oct 28, 2003",6.07,gcn0181,,2003,65-69pts,0.306,$05.00-9.99,,11.203,-0.165,
gamecube,Harvest Moon: A Wonderful Life,79,none,https://www.metacritic.com/game/gamecube/harvest-moon-a-wonderful-life,8.5,"Mar 16, 2004",16.61,gcn0184,,2004,75-79pts,0.664,$15.00-19.99,,4.756,0.602,
gamecube,Harvest Moon: Another Wonderful Life,70,none,https://www.metacritic.com/game/gamecube/harvest-moon-another-wonderful-life,8.5,"Jul 26, 2005",20.91,gcn0185,,2005,70-74pts,0.368,$20.00-24.99,,3.348,0.048,
gamecube,Harvest Moon: Magical Melody,83,none,https://www.metacritic.com/game/gamecube/harvest-moon-magical-melody,8.8,"Mar 28, 2006",21.65,gcn0186,,2006,80-84pts,0.789,$20.00-24.99,,3.834,0.647,
gamecube,Hello Kitty: Roller Rescue,64,none,https://www.metacritic.com/game/gamecube/hello-kitty-roller-rescue,7.6,"Aug 16, 2005",14.99,gcn0188,,2005,60-64pts,0.175,$10.00-14.99,,4.270,-0.334,
gamecube,Hitman 2: Silent Assassin,83,none,https://www.metacritic.com/game/gamecube/hitman-2-silent-assassin,6.1,"Jun 19, 2003",7.02,gcn0189,,2003,80-84pts,0.789,$05.00-9.99,,11.823,1.994,
gamecube,Home Run King,66,none,https://www.metacritic.com/game/gamecube/home-run-king,7.5,"Mar 18, 2002",4.06,gcn0190,,2002,65-69pts,0.228,$00.00-4.99,,16.256,-0.739,
gamecube,Hulk,71,none,https://www.metacritic.com/game/gamecube/hulk,7.4,"May 27, 2003",9.18,gcn0193,,2003,70-74pts,0.406,$05.00-9.99,,7.734,0.218,
gamecube,Hunter: The Reckoning,70,none,https://www.metacritic.com/game/gamecube/hunter-the-reckoning,7.3,"Nov 18, 2002",19.94,gcn0194,,2002,70-74pts,0.368,$15.00-19.99,,3.511,0.050,
gamecube,I-Ninja,77,none,https://www.metacritic.com/game/gamecube/i-ninja,7.5,"Dec 4, 2003",25.92,gcn0195,,2003,75-79pts,0.609,$25.00-29.99,,2.971,0.309,
gamecube,Ice Age 2: The Meltdown,67,none,https://www.metacritic.com/game/gamecube/ice-age-2-the-meltdown,,"Mar 14, 2006",5.9,gcn0196,,2006,65-69pts,0.266,$05.00-9.99,,11.356,-0.339,
gamecube,Ikaruga,85,none,https://www.metacritic.com/game/gamecube/ikaruga,8.5,"Apr 15, 2003",51.72,gcn0197,,2003,85-89pts,0.84,$50.00-54.99,,1.643,0.309,
gamecube,James Bond 007: Agent Under Fire,74,none,https://www.metacritic.com/game/gamecube/james-bond-007-agent-under-fire,6.6,"Mar 13, 2002",10.06,gcn0000,,2002,70-74pts,0.506,$10.00-14.99,,7.356,0.497,
gamecube,James Bond 007: Everything or Nothing,84,none,https://www.metacritic.com/game/gamecube/james-bond-007-everything-or-nothing,8.4,"Feb 17, 2004",8.99,gcn0001,,2004,80-84pts,0.817,$05.00-9.99,,9.344,1.669,
gamecube,James Bond 007: NightFire,80,none,https://www.metacritic.com/game/gamecube/james-bond-007-nightfire,8.4,"Nov 18, 2002",10.05,gcn0003,,2002,80-84pts,0.689,$10.00-14.99,,7.960,1.095,
gamecube,Judge Dredd: Dredd VS Death,56,none,https://www.metacritic.com/game/gamecube/judge-dredd-dredd-vs-death,,"Mar 1, 2005",22.85,gcn0240,,2005,55-59pts,0,$20.00-24.99,,2.451,-0.569,
gamecube,Kao the Kangaroo Round 2,57,none,https://www.metacritic.com/game/gamecube/kao-the-kangaroo-round-2,7.5,"Mar 29, 2006",9.5,gcn0241,,2006,55-59pts,0.01,$05.00-9.99,,6.000,-1.263,
gamecube,Karaoke Revolution Party,80,none,https://www.metacritic.com/game/gamecube/karaoke-revolution-party,,"Nov 8, 2005",9.31,gcn0242,,2005,80-84pts,0.689,$05.00-9.99,,8.593,1.182,
gamecube,Kelly Slater's Pro Surfer,80,none,https://www.metacritic.com/game/gamecube/kelly-slaters-pro-surfer,8.2,"Sep 16, 2002",5.95,gcn0243,,2002,80-84pts,0.689,$05.00-9.99,,13.445,1.849,
gamecube,Killer7,74,none,https://www.metacritic.com/game/gamecube/killer7,8.7,"Jul 7, 2005",39.99,gcn0244,,2005,70-74pts,0.506,$35.00-39.99,,1.850,0.125,
gamecube,King Arthur,60,none,https://www.metacritic.com/game/gamecube/king-arthur,,"Nov 18, 2004",7.75,gcn0245,,2004,60-64pts,0.065,$05.00-9.99,,7.742,-1.161,
gamecube,Kirby Air Ride,61,none,https://www.metacritic.com/game/gamecube/kirby-air-ride,8.1,"Oct 13, 2003",53.99,gcn0246,,2003,60-64pts,0.093,$50.00-54.99,,1.130,-0.148,
gamecube,Knockout Kings 2003,78,none,https://www.metacritic.com/game/gamecube/knockout-kings-2003,7,"Oct 9, 2002",5,gcn0247,,2002,75-79pts,0.637,$05.00-9.99,,15.600,1.800,
gamecube,Legends of Wrestling II,59,none,https://www.metacritic.com/game/gamecube/legends-of-wrestling-ii,,"Nov 26, 2002",9.11,gcn0252,,2002,55-59pts,0.035,$05.00-9.99,,6.476,-1.098,
gamecube,Lego Star Wars,79,none,https://www.metacritic.com/game/gamecube/lego-star-wars,7.7,"Oct 25, 2005",6.73,gcn0248,,2005,75-79pts,0.664,$05.00-9.99,,11.738,1.486,
gamecube,Lego Star Wars II: The Original Trilogy,84,none,https://www.metacritic.com/game/gamecube/lego-star-wars-ii-the-original-trilogy,8.6,"Sep 12, 2006",6.33,gcn0249,,2006,80-84pts,0.817,$05.00-9.99,,13.270,2.370,
gamecube,Lost Kingdoms,72,none,https://www.metacritic.com/game/gamecube/lost-kingdoms,8.1,"May 27, 2002",26.67,gcn0258,,2002,70-74pts,0.449,$25.00-29.99,,2.700,0.112,
gamecube,Lost Kingdoms II,68,none,https://www.metacritic.com/game/gamecube/lost-kingdoms-ii,8.3,"May 21, 2003",84.99,gcn0259,,2003,65-69pts,0.306,$80.00-84.99,,0.800,-0.012,
gamecube,Luigi's Mansion,78,none,https://www.metacritic.com/game/gamecube/luigis-mansion,8.6,"Nov 17, 2001",36.22,gcn0261,,2001,75-79pts,0.637,$35.00-39.99,,2.154,0.248,
gamecube,Madagascar,70,none,https://www.metacritic.com/game/gamecube/madagascar,8.5,"May 24, 2005",6.39,gcn0268,,2005,70-74pts,0.368,$05.00-9.99,,10.955,0.156,
gamecube,Madden NFL 06,86,none,https://www.metacritic.com/game/gamecube/madden-nfl-06,7.8,"Aug 8, 2005",2.49,gcn0273,,2005,85-89pts,0.86,$00.00-4.99,,34.538,6.827,
gamecube,Madden NFL 07,82,none,https://www.metacritic.com/game/gamecube/madden-nfl-07,7.8,"Aug 22, 2006",4.96,gcn0274,,2006,80-84pts,0.759,$00.00-4.99,,16.532,2.621,
gamecube,Madden NFL 2002,89,none,https://www.metacritic.com/game/gamecube/madden-nfl-2002,6,"Nov 17, 2001",3.39,gcn0269,,2001,85-89pts,0.912,$00.00-4.99,,26.254,5.900,
gamecube,Madden NFL 2003,92,none,https://www.metacritic.com/game/gamecube/madden-nfl-2003,7.4,"Aug 12, 2002",$4.75,gcn0270,,2002,90-94pts,0.962,$00.00-4.99,,19.368,4.842,
gamecube,Madden NFL 2004,94,none,https://www.metacritic.com/game/gamecube/madden-nfl-2004,7,"Aug 12, 2003",$4.43,gcn0271,,2003,90-94pts,0.987,$00.00-4.99,,21.219,5.643,
gamecube,Madden NFL 2005,90,none,https://www.metacritic.com/game/gamecube/madden-nfl-2005,,"Aug 9, 2004",$2.95,gcn0272,,2004,90-94pts,0.937,$00.00-4.99,,30.508,7.119,
gamecube,Major League Baseball 2K6,66,none,https://www.metacritic.com/game/gamecube/major-league-baseball-2k6,,"Jun 12, 2006",4.02,gcn0277,,2006,65-69pts,0.228,$00.00-4.99,,16.418,-0.746,
gamecube,Mario Golf: Toadstool Tour,81,none,https://www.metacritic.com/game/gamecube/mario-golf-toadstool-tour,8.1,"Jul 29, 2003",19.99,gcn0278,,2003,80-84pts,0.729,$15.00-19.99,,4.052,0.600,
gamecube,Mario Kart: Double Dash!!,87,none,https://www.metacritic.com/game/gamecube/mario-kart-double-dash!!,8.6,"Nov 17, 2003",49.56,gcn0279,,2003,85-89pts,0.872,$45.00-49.99,,1.755,0.363,
gamecube,Mario Party 4,70,none,https://www.metacritic.com/game/gamecube/mario-party-4,7.6,"Oct 21, 2002",50,gcn0281,,2002,70-74pts,0.368,$50.00-54.99,,1.400,0.020,
gamecube,Mario Party 5,69,none,https://www.metacritic.com/game/gamecube/mario-party-5,7.9,"Nov 10, 2003",57.23,gcn0282,,2003,65-69pts,0.331,$55.00-59.99,,1.206,0.000,
gamecube,Mario Party 6,71,none,https://www.metacritic.com/game/gamecube/mario-party-6,8,"Dec 6, 2004",57.23,gcn0282,,2004,70-74pts,0.406,$55.00-59.99,,1.241,0.035,
gamecube,Mario Party 7,64,none,https://www.metacritic.com/game/gamecube/mario-party-7,7.9,"Nov 7, 2005",44.99,gcn0284,,2005,60-64pts,0.175,$40.00-44.99,,1.423,-0.111,
gamecube,Mario Power Tennis,80,none,https://www.metacritic.com/game/gamecube/mario-power-tennis,8.5,"Nov 8, 2004",24.99,gcn0285,,2004,80-84pts,0.689,$20.00-24.99,,3.201,0.440,
gamecube,Mario Superstar Baseball,76,none,https://www.metacritic.com/game/gamecube/mario-superstar-baseball,8.7,"Aug 29, 2005",40,gcn0286,,2005,75-79pts,0.561,$40.00-44.99,,1.900,0.175,
gamecube,Mat Hoffman's Pro BMX 2,70,none,https://www.metacritic.com/game/gamecube/mat-hoffmans-pro-bmx-2,8.4,"Oct 8, 2002",5.2,gcn0290,,2002,70-74pts,0.368,$05.00-9.99,,13.462,0.192,
gamecube,Medal of Honor Frontline,80,none,https://www.metacritic.com/game/gamecube/medal-of-honor-frontline,7.6,"Nov 10, 2002",5.95,gcn0293,,2002,80-84pts,0.689,$05.00-9.99,,13.445,1.849,
gamecube,Medal of Honor: European Assault,71,none,https://www.metacritic.com/game/gamecube/medal-of-honor-european-assault,8,"Jun 7, 2005",5.99,gcn0292,,2005,70-74pts,0.406,$05.00-9.99,,11.853,0.334,
gamecube,Medal of Honor: Rising Sun,68,none,https://www.metacritic.com/game/gamecube/medal-of-honor-rising-sun,6.6,"Nov 11, 2003",6.04,gcn0294,,2003,65-69pts,0.306,$05.00-9.99,,11.258,-0.166,
gamecube,Mega Man Anniversary Collection,81,none,https://www.metacritic.com/game/gamecube/mega-man-anniversary-collection,8.8,"Jun 22, 2004",9.75,gcn0296,,2004,80-84pts,0.729,$05.00-9.99,,8.308,1.231,
gamecube,Mega Man Network Transmission,65,none,https://www.metacritic.com/game/gamecube/mega-man-network-transmission,8.8,"Jun 17, 2003",18.55,gcn0297,,2003,65-69pts,0.206,$15.00-19.99,,3.504,-0.216,
gamecube,Mega Man X Collection,75,none,https://www.metacritic.com/game/gamecube/mega-man-x-collection,9,"Jan 10, 2006",21,gcn0298,,2006,75-79pts,0.529,$20.00-24.99,,3.571,0.286,
gamecube,Mega Man X: Command Mission,67,none,https://www.metacritic.com/game/gamecube/mega-man-x-command-mission,8.7,"Sep 21, 2004",26.83,gcn0299,,2004,65-69pts,0.266,$25.00-29.99,,2.497,-0.075,
gamecube,Metal Arms: Glitch in the System,83,none,https://www.metacritic.com/game/gamecube/metal-arms-glitch-in-the-system,8.6,"Nov 18, 2003",16.45,gcn0301,,2003,80-84pts,0.789,$15.00-19.99,,5.046,0.851,
gamecube,Metal Gear Solid: The Twin Snakes,85,none,https://www.metacritic.com/game/gamecube/metal-gear-solid-the-twin-snakes,8.9,"Mar 9, 2004",78.47,gcn0302,,2004,85-89pts,0.84,$75.00-79.99,,1.083,0.204,
gamecube,Metroid Prime,97,none,https://www.metacritic.com/game/gamecube/metroid-prime,9.2,"Nov 17, 2002",23.74,gcn0303,,2002,95-99pts,1,$20.00-24.99,,4.086,1.179,
gamecube,Metroid Prime 2: Echoes,92,none,https://www.metacritic.com/game/gamecube/metroid-prime-2-echoes,8.9,"Nov 15, 2004",47.11,gcn0305,,2004,90-94pts,0.962,$45.00-49.99,,1.953,0.488,
gamecube,Midway Arcade Treasures,72,none,https://www.metacritic.com/game/gamecube/midway-arcade-treasures,8.1,"Dec 18, 2003",12.02,gcn0306,,2003,70-74pts,0.449,$10.00-14.99,,5.990,0.250,
gamecube,Midway Arcade Treasures 2,74,none,https://www.metacritic.com/game/gamecube/midway-arcade-treasures-2,7.3,"Oct 11, 2004",15.26,gcn0307,,2004,70-74pts,0.506,$15.00-19.99,,4.849,0.328,
gamecube,Midway Arcade Treasures 3,65,none,https://www.metacritic.com/game/gamecube/midway-arcade-treasures-3,7,"Oct 26, 2005",17.96,gcn0308,,2005,65-69pts,0.206,$15.00-19.99,,3.619,-0.223,
gamecube,Mission: Impossible: Operation Surma,64,none,https://www.metacritic.com/game/gamecube/mission-impossible-operation-surma,,"Mar 23, 2004",6.58,gcn0311,,2004,60-64pts,0.175,$05.00-9.99,,9.726,-0.760,
gamecube,MLB Slugfest 20-03,80,none,https://www.metacritic.com/game/gamecube/mlb-slugfest-20-03,,"Sep 3, 2002",8.47,gcn0263,,2002,80-84pts,0.689,$05.00-9.99,,9.445,1.299,
gamecube,MLB Slugfest 20-04,76,none,https://www.metacritic.com/game/gamecube/mlb-slugfest-20-04,,"Mar 16, 2003",14.99,gcn0264,,2003,75-79pts,0.561,$10.00-14.99,,5.070,0.467,
gamecube,Monster House,60,none,https://www.metacritic.com/game/gamecube/monster-house,,"Jul 18, 2006",7.99,gcn0314,,2006,60-64pts,0.065,$05.00-9.99,,7.509,-1.126,
gamecube,Mortal Kombat: Deadly Alliance,81,none,https://www.metacritic.com/game/gamecube/mortal-kombat-deadly-alliance,8.6,"Nov 17, 2002",14.49,gcn0317,,2002,80-84pts,0.729,$10.00-14.99,,5.590,0.828,
gamecube,Mortal Kombat: Deception,77,none,https://www.metacritic.com/game/gamecube/mortal-kombat-deception,8.5,"Mar 1, 2005",54.03,gcn0318,,2005,75-79pts,0.609,$50.00-54.99,,1.425,0.148,
gamecube,MVP Baseball 2004,89,none,https://www.metacritic.com/game/gamecube/mvp-baseball-2004,7.2,"Mar 9, 2004",2.57,gcn0265,,2004,85-89pts,0.912,$00.00-4.99,,34.630,7.782,
gamecube,MVP Baseball 2005,88,none,https://www.metacritic.com/game/gamecube/mvp-baseball-2005,7.7,"Feb 22, 2005",8.99,gcn0266,,2005,85-89pts,0.892,$05.00-9.99,,9.789,2.113,
gamecube,MX Superfly,76,none,https://www.metacritic.com/game/gamecube/mx-superfly,7.4,"Jun 25, 2002",5.48,gcn0267,,2002,75-79pts,0.561,$05.00-9.99,,13.869,1.277,
gamecube,Mystic Heroes,67,none,https://www.metacritic.com/game/gamecube/mystic-heroes,8.2,"Sep 30, 2002",16.18,gcn0320,,2002,65-69pts,0.266,$15.00-19.99,,4.141,-0.124,
gamecube,Namco Museum,62,none,https://www.metacritic.com/game/gamecube/namco-museum,9,"Oct 9, 2002",5.81,gcn0354,,2002,60-64pts,0.115,$05.00-9.99,,10.671,-1.205,
gamecube,Namco Museum 50th Anniversary,60,none,https://www.metacritic.com/game/gamecube/namco-museum-50th-anniversary,7.8,"Aug 30, 2005",13.7,gcn0355,,2005,60-64pts,0.065,$10.00-14.99,,4.380,-0.657,
gamecube,Naruto: Clash of Ninja,72,none,https://www.metacritic.com/game/gamecube/naruto-clash-of-ninja,8,"Mar 7, 2006",6.8,gcn0356,,2006,70-74pts,0.449,$05.00-9.99,,10.588,0.441,
gamecube,Naruto: Clash of Ninja 2,74,none,https://www.metacritic.com/game/gamecube/naruto-clash-of-ninja-2,8.7,"Sep 26, 2006",9.99,gcn0357,,2006,70-74pts,0.506,$05.00-9.99,,7.407,0.501,
gamecube,NASCAR Thunder 2003,85,none,https://www.metacritic.com/game/gamecube/nascar-thunder-2003,7,"Sep 19, 2002",5.5,gcn0323,,2002,85-89pts,0.84,$05.00-9.99,,15.455,2.909,
gamecube,NASCAR: Dirt to Daytona,85,none,https://www.metacritic.com/game/gamecube/nascar-dirt-to-daytona,7.6,"Nov 27, 2002",11.93,gcn0322,,2002,85-89pts,0.84,$10.00-14.99,,7.125,1.341,
gamecube,NBA 2K2,90,none,https://www.metacritic.com/game/gamecube/nba-2k2,7.3,"Mar 20, 2002",$5.73,gcn0324,,2002,90-94pts,0.937,$05.00-9.99,,15.707,3.665,
gamecube,NBA 2K3,84,none,https://www.metacritic.com/game/gamecube/nba-2k3,6.3,"Oct 7, 2002",6.2,gcn0325,,2002,80-84pts,0.817,$05.00-9.99,,13.548,2.419,
gamecube,NBA Courtside 2002,71,none,https://www.metacritic.com/game/gamecube/nba-courtside-2002,7.3,"Jan 13, 2002",6.68,gcn0326,,2002,70-74pts,0.406,$05.00-9.99,,10.629,0.299,
gamecube,NBA Live 06,76,none,https://www.metacritic.com/game/gamecube/nba-live-06,,"Sep 26, 2005",4.97,gcn0330,,2005,75-79pts,0.561,$00.00-4.99,,15.292,1.408,
gamecube,NBA Live 2003,82,none,https://www.metacritic.com/game/gamecube/nba-live-2003,8.2,"Oct 8, 2002",4.81,gcn0327,,2002,80-84pts,0.759,$00.00-4.99,,17.048,2.703,
gamecube,NBA Live 2004,84,none,https://www.metacritic.com/game/gamecube/nba-live-2004,7.7,"Oct 15, 2003",2.99,gcn0328,,2003,80-84pts,0.817,$00.00-4.99,,28.094,5.017,
gamecube,NBA Live 2005,83,none,https://www.metacritic.com/game/gamecube/nba-live-2005,7.1,"Sep 28, 2004",4.9,gcn0329,,2004,80-84pts,0.789,$00.00-4.99,,16.939,2.857,
gamecube,NBA Street,88,none,https://www.metacritic.com/game/gamecube/nba-street,6,"Feb 17, 2002",10.16,gcn0331,,2002,85-89pts,0.892,$10.00-14.99,,8.661,1.870,
gamecube,NBA Street V3,88,none,https://www.metacritic.com/game/gamecube/nba-street-v3,7.9,"Feb 8, 2005",22.99,gcn0333,,2005,85-89pts,0.892,$20.00-24.99,,3.828,0.826,
gamecube,NBA Street Vol. 2,88,none,https://www.metacritic.com/game/gamecube/nba-street-vol-2,8,"Apr 28, 2003",19.99,gcn0332,,2003,85-89pts,0.892,$15.00-19.99,,4.402,0.950,
gamecube,NCAA College Basketball 2K3,82,none,https://www.metacritic.com/game/gamecube/ncaa-college-basketball-2k3,,"Dec 2, 2002",91.4,gcn0334,,2002,80-84pts,0.759,$90.00-94.99,,0.897,0.142,
gamecube,NCAA College Football 2K3,70,none,https://www.metacritic.com/game/gamecube/ncaa-college-football-2k3,8.8,"Sep 9, 2002",4.05,gcn0335,,2002,70-74pts,0.368,$00.00-4.99,,17.284,0.247,
gamecube,NCAA Football 2003,91,none,https://www.metacritic.com/game/gamecube/ncaa-football-2003,6.6,"Jul 20, 2002",$4.20,gcn0336,,2002,90-94pts,0.95,$00.00-4.99,,21.667,5.238,
gamecube,NCAA Football 2004,89,none,https://www.metacritic.com/game/gamecube/ncaa-football-2004,6.9,"Jul 16, 2003",5.81,gcn0337,,2003,85-89pts,0.912,$05.00-9.99,,15.318,3.442,
gamecube,NCAA Football 2005,88,none,https://www.metacritic.com/game/gamecube/ncaa-football-2005,7.8,"Jul 15, 2004",9.99,gcn0338,,2004,85-89pts,0.892,$05.00-9.99,,8.809,1.902,
gamecube,Need for Speed Carbon,75,none,https://www.metacritic.com/game/gamecube/need-for-speed-carbon,7.8,"Oct 31, 2006",10.74,gcn0358,,2006,75-79pts,0.529,$10.00-14.99,,6.983,0.559,
gamecube,Need for Speed Most Wanted,80,none,https://www.metacritic.com/game/gamecube/need-for-speed-most-wanted,8.7,"Nov 15, 2005",15.62,gcn0360,,2005,80-84pts,0.689,$15.00-19.99,,5.122,0.704,
gamecube,Need for Speed Underground,83,none,https://www.metacritic.com/game/gamecube/need-for-speed-underground,8.2,"Nov 17, 2003",9.37,gcn0361,,2003,80-84pts,0.789,$05.00-9.99,,8.858,1.494,
