platform,Title,Score,compatibility,link,user score,release date,Price,price charting id,,release year,score tier,score pctl,price tier,price pctl,points per dollar,ppd 69,
3ds,Etrian Odyssey IV: Legends of the Titan,84,,https://www.metacritic.com/game/3ds/etrian-odyssey-iv-legends-of-the-titan,8.3,"Feb 26, 2013",,,,2013,,,,,,,
3ds,Pokemon Ultra Moon,84,,https://www.metacritic.com/game/3ds/pokemon-ultra-moon,7.7,"Nov 17, 2017",,,,2017,,,,,,,
3ds,Shin Megami Tensei IV: Apocalypse,84,,https://www.metacritic.com/game/3ds/shin-megami-tensei-iv-apocalypse,4.7,"Sep 20, 2016",,,,2016,,,,,,,
3ds,Kid Icarus: Uprising,83,,https://www.metacritic.com/game/3ds/kid-icarus-uprising,8.7,"Mar 23, 2012",,,,2012,,,,,,,
3ds,Donkey Kong Country Returns 3D,83,,https://www.metacritic.com/game/3ds/donkey-kong-country-returns-3d,8.3,"May 24, 2013",,,,2013,,,,,,,
3ds,Shin Megami Tensei IV,83,,https://www.metacritic.com/game/3ds/shin-megami-tensei-iv,6.3,"Jul 16, 2013",,,,2013,,,,,,,
3ds,Persona Q: Shadow of the Labyrinth,83,,https://www.metacritic.com/game/3ds/persona-q-shadow-of-the-labyrinth,5.7,"Nov 25, 2014",,,,2014,,,,,,,
3ds,Retro City Rampage DX,83,,https://www.metacritic.com/game/3ds/retro-city-rampage-dx,7.5,"Feb 6, 2014",,,,2014,,,,,,,
3ds,Pocket Card Jockey,83,,https://www.metacritic.com/game/3ds/pocket-card-jockey,8,"May 5, 2016",,,,2016,,,,,,,
3ds,BYE-BYE BOXBOY!,83,,https://www.metacritic.com/game/3ds/bye-bye-boxboy!,7.8,"Apr 12, 2017",,,,2017,,,,,,,
3ds,Stretchmo,83,,https://www.metacritic.com/game/3ds/stretchmo,7.9,"May 14, 2015",,,,2015,,,,,,,
3ds,Pokemon Omega Ruby,83,,https://www.metacritic.com/game/3ds/pokemon-omega-ruby,7.4,"Nov 21, 2014",,,,2014,,,,,,,
3ds,VVVVVV,83,,https://www.metacritic.com/game/3ds/vvvvvv,8,"Dec 29, 2011",,,,2011,,,,,,,
3ds,Rhythm Heaven Megamix,83,,https://www.metacritic.com/game/3ds/rhythm-heaven-megamix,8.2,"Jun 15, 2016",,,,2016,,,,,,,
3ds,Theatrhythm Final Fantasy: Curtain Call,83,,https://www.metacritic.com/game/3ds/theatrhythm-final-fantasy-curtain-call,8.2,"Sep 16, 2014",,,,2014,,,,,,,
3ds,Pokemon Alpha Sapphire,82,,https://www.metacritic.com/game/3ds/pokemon-alpha-sapphire,7.4,"Nov 21, 2014",,,,2014,,,,,,,
3ds,Cave Story 3D,82,,https://www.metacritic.com/game/3ds/cave-story-3d,8.1,"Nov 8, 2011",,,,2011,,,,,,,
3ds,Resident Evil: Revelations,82,,https://www.metacritic.com/game/3ds/resident-evil-revelations,8.5,"Feb 7, 2012",,,,2012,,,,,,,
3ds,Professor Layton and the Miracle Mask,82,,https://www.metacritic.com/game/3ds/professor-layton-and-the-miracle-mask,8.1,"Oct 28, 2012",,,,2012,,,,,,,
3ds,Etrian Odyssey 2 Untold: The Fafnir Knight,82,,https://www.metacritic.com/game/3ds/etrian-odyssey-2-untold-the-fafnir-knight,7.9,"Aug 4, 2015",,,,2015,,,,,,,
3ds,Shantae and the Pirate's Curse,82,,https://www.metacritic.com/game/3ds/shantae-and-the-pirates-curse,8.6,"Oct 23, 2014",,,,2014,,,,,,,
3ds,Skylanders: Spyro's Adventure,82,,https://www.metacritic.com/game/3ds/skylanders-spyros-adventure,5,"Oct 16, 2011",,,,2011,,,,,,,
3ds,Gunman Clive,82,,https://www.metacritic.com/game/3ds/gunman-clive,7.9,"Jan 3, 2013",,,,2013,,,,,,,
3ds,Art of Balance Touch!,82,,https://www.metacritic.com/game/3ds/art-of-balance-touch!,7.4,"Jun 7, 2012",,,,2012,,,,,,,
3ds,SteamWorld Dig,82,,https://www.metacritic.com/game/3ds/steamworld-dig,7.9,"Aug 8, 2013",,,,2013,,,,,,,
3ds,Siesta Fiesta,81,,https://www.metacritic.com/game/3ds/siesta-fiesta,7.4,"Jul 24, 2014",,,,2014,,,,,,,
3ds,Kirby: Planet Robobot,81,,https://www.metacritic.com/game/3ds/kirby-planet-robobot,8.5,"Jun 10, 2016",,,,2016,,,,,,,
3ds,Mario & Luigi: Superstar Saga + Bowser's Minions,81,,https://www.metacritic.com/game/3ds/mario-luigi-superstar-saga-+-bowsers-minions,8.3,"Oct 6, 2017",,,,2017,,,,,,,
3ds,Art Academy: Lessons for Everyone,81,,https://www.metacritic.com/game/3ds/art-academy-lessons-for-everyone,7.6,"Oct 1, 2012",,,,2012,,,,,,,
